id,description,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey 7 ",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",B62. I have some really good friendships at work ,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? 
g_aoaa,"AO/AA  (n=71,169)",0.52,0.61,0.77,0.65,0.77,0.44,0.7,0.72,0.24,0.34,0.8,0.68,0.64,0.41,0.51,0.78,0.75,0.77,0.66,0.74,0.73,0.62,0.67,0.76,0.69,0.64,0.61,0.41,0.83,0.79,0.7,0.6,0.45,0.37,0.33,0.74,0.82,0.55,0.68,0.86,0.65,0.77,0.83,0.62,0.63,0.71,0.21,0.28,0.22,0.35,0.39,0.36,0.35,0.3,0.29,0.25,0.47,0.27,0.33,0.44,0.38,0.37,0.38,0.36,0.32,0.43,0.31,0.86,0.59,0.54,0.5,0.82,0.11,0.11,0.21,0.58,0.82,0.6,0.59,0.59,0.65,0.57,0.49,0.13,0.11
g_eo,"EO  (n=71,898)",0.52,0.69,0.78,0.63,0.76,0.47,0.71,0.69,0.25,0.33,0.87,0.78,0.72,0.48,0.61,0.8,0.76,0.79,0.64,0.74,0.74,0.6,0.65,0.74,0.65,0.59,0.58,0.39,0.82,0.78,0.69,0.59,0.48,0.4,0.38,0.74,0.83,0.57,0.68,0.82,0.62,0.72,0.83,0.61,0.58,0.66,0.24,0.28,0.22,0.34,0.38,0.35,0.36,0.29,0.26,0.24,0.48,0.27,0.34,0.46,0.37,0.43,0.37,0.35,0.33,0.47,0.33,0.85,0.62,0.57,0.56,0.81,0.11,0.11,0.21,0.58,0.87,0.64,0.6,0.6,0.67,0.59,0.5,0.13,0.13
g_seoheo,"SEO/HEO  (n=72,428)",0.55,0.77,0.82,0.67,0.8,0.53,0.75,0.69,0.29,0.38,0.91,0.84,0.77,0.59,0.75,0.84,0.79,0.82,0.67,0.81,0.81,0.62,0.73,0.77,0.64,0.59,0.61,0.4,0.84,0.8,0.75,0.62,0.53,0.47,0.48,0.79,0.85,0.64,0.73,0.8,0.64,0.71,0.85,0.62,0.55,0.64,0.3,0.33,0.25,0.38,0.46,0.42,0.4,0.35,0.25,0.24,0.54,0.32,0.39,0.52,0.4,0.47,0.38,0.36,0.4,0.53,0.34,0.87,0.69,0.65,0.67,0.77,0.08,0.12,0.27,0.53,0.93,0.69,0.66,0.62,0.69,0.6,0.5,0.11,0.11
g_g6g7,"G6/G7  (n=30,280)",0.59,0.83,0.86,0.69,0.84,0.56,0.78,0.7,0.36,0.45,0.94,0.89,0.83,0.69,0.82,0.88,0.84,0.86,0.69,0.81,0.84,0.66,0.76,0.78,0.63,0.6,0.63,0.46,0.87,0.85,0.81,0.65,0.57,0.5,0.52,0.81,0.88,0.68,0.75,0.83,0.68,0.77,0.91,0.64,0.51,0.56,0.39,0.39,0.31,0.44,0.56,0.49,0.43,0.44,0.29,0.29,0.63,0.43,0.48,0.59,0.47,0.53,0.44,0.42,0.52,0.65,0.43,0.88,0.72,0.7,0.78,0.75,0.07,0.14,0.33,0.45,0.96,0.73,0.74,0.67,0.75,0.63,0.49,0.09,0.09
g_scs,"SCS  (n=4,532)",0.74,0.93,0.93,0.81,0.94,0.72,0.88,0.79,0.36,0.69,0.98,0.94,0.93,0.87,0.92,0.93,0.92,0.94,0.83,0.84,0.91,0.82,0.87,0.87,0.74,0.76,0.75,0.74,0.94,0.94,0.93,0.8,0.72,0.65,0.69,0.9,0.94,0.84,0.86,0.93,0.84,0.9,0.96,0.76,0.6,0.57,0.38,0.4,0.3,0.68,0.78,0.75,0.63,0.74,0.55,0.55,0.82,0.72,0.72,0.8,0.71,0.71,0.69,0.69,0.8,0.87,0.74,0.94,0.86,0.85,0.88,0.79,0.05,0.13,0.38,0.45,0.96,0.85,0.87,0.76,0.84,0.72,0.57,0.05,0.06
c_england,"England  (n=214,139)",0.53,0.71,0.79,0.65,0.78,0.48,0.72,0.69,0.27,0.35,0.87,0.78,0.72,0.51,0.65,0.81,0.76,0.79,0.65,0.76,0.77,0.61,0.69,0.75,0.64,0.59,0.59,0.4,0.83,0.79,0.72,0.6,0.49,0.42,0.41,0.76,0.83,0.59,0.7,0.82,0.63,0.73,0.84,0.61,0.56,0.64,0.27,0.3,0.24,0.35,0.42,0.38,0.37,0.32,0.26,0.24,0.51,0.3,0.36,0.48,0.38,0.43,0.38,0.35,0.36,0.49,0.33,0.86,0.64,0.59,0.59,0.78,0.1,0.12,0.25,0.53,0.88,0.65,0.62,0.6,0.67,0.58,0.49,0.12,0.11
c_scotland,"Scotland  (n=24,560)",0.54,0.7,0.82,0.66,0.79,0.5,0.73,0.73,0.25,0.38,0.87,0.77,0.71,0.5,0.63,0.84,0.81,0.82,0.66,0.77,0.76,0.62,0.69,0.76,0.67,0.6,0.63,0.41,0.85,0.8,0.71,0.63,0.5,0.45,0.42,0.78,0.84,0.59,0.72,0.85,0.66,0.76,0.86,0.67,0.62,0.69,0.25,0.29,0.22,0.4,0.44,0.41,0.41,0.36,0.29,0.27,0.52,0.31,0.38,0.49,0.42,0.44,0.4,0.38,0.38,0.49,0.34,0.87,0.64,0.6,0.6,0.79,0.1,0.1,0.22,0.59,0.9,0.68,0.65,0.65,0.71,0.62,0.54,0.11,0.11
c_wales,"Wales  (n=18,964)",0.57,0.71,0.81,0.69,0.81,0.52,0.75,0.74,0.35,0.4,0.87,0.78,0.73,0.52,0.64,0.84,0.79,0.82,0.69,0.8,0.79,0.67,0.72,0.79,0.7,0.65,0.65,0.46,0.86,0.82,0.75,0.65,0.51,0.47,0.44,0.79,0.86,0.62,0.73,0.85,0.69,0.77,0.86,0.67,0.64,0.71,0.33,0.4,0.32,0.43,0.46,0.42,0.42,0.37,0.32,0.3,0.54,0.34,0.41,0.53,0.51,0.47,0.44,0.42,0.39,0.52,0.36,0.88,0.67,0.62,0.62,0.84,0.07,0.08,0.19,0.65,0.88,0.67,0.67,0.65,0.7,0.61,0.5,0.1,0.09
c_nire,"Northern Ireland  (n=1,648)",0.54,0.72,0.8,0.68,0.79,0.52,0.73,0.71,0.3,0.34,0.88,0.82,0.74,0.52,0.62,0.81,0.77,0.82,0.69,0.78,0.78,0.65,0.73,0.79,0.67,0.61,0.62,0.47,0.83,0.81,0.74,0.66,0.52,0.45,0.43,0.78,0.84,0.59,0.7,0.86,0.66,0.77,0.82,0.63,0.61,0.67,0.29,0.31,0.29,0.35,0.44,0.41,0.36,0.32,0.25,0.22,0.47,0.26,0.31,0.45,0.4,0.48,0.4,0.37,0.34,0.42,0.28,0.87,0.63,0.58,0.58,0.83,0.1,0.07,0.16,0.68,0.9,0.69,0.62,0.64,0.71,0.62,0.49,0.12,0.11
c_overseas,"Overseas  (n=12,983)",0.65,0.77,0.83,0.68,0.79,0.52,0.76,0.75,0.29,0.47,0.92,0.81,0.79,0.62,0.71,0.84,0.8,0.84,0.7,0.73,0.78,0.64,0.7,0.79,0.66,0.67,0.64,0.51,0.82,0.8,0.75,0.57,0.57,0.42,0.53,0.77,0.83,0.7,0.74,0.86,0.73,0.81,0.9,0.67,0.61,0.66,0.3,0.32,0.25,0.53,0.57,0.53,0.49,0.47,0.38,0.32,0.58,0.38,0.42,0.74,0.57,0.57,0.55,0.52,0.49,0.56,0.42,0.88,0.67,0.69,0.66,0.8,0.07,0.11,0.26,0.56,0.67,0.51,0.59,0.64,0.7,0.64,0.47,0.14,0.12
