id,description,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",B62. I have some really good friendships at work ,B63 My manager inspires my team to do our best,B64 [Senior managers] inspire people across [my organisation] to do their best,B65 My manager leads our team with confidence,B66 [Senior managers] lead [my organisation] with confidence,B67 My manager empowers me to do my job effectively,B68 [My organisation's senior managers] empower teams to deliver,B69 [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement ,B70 My manager actively role models the behaviours set out in the Civil Service Leadership Statement,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? 
g_aoaa,"AO/AA  (n=76,109)",0.52,0.61,0.78,0.67,0.79,0.47,0.71,0.73,0.24,0.35,0.81,0.7,0.64,0.41,0.5,0.79,0.75,0.78,0.68,0.75,0.74,0.64,0.68,0.77,0.72,0.66,0.62,0.44,0.85,0.81,0.72,0.61,0.47,0.43,0.36,0.75,0.84,0.56,0.69,0.86,0.65,0.78,0.82,0.63,0.64,0.71,0.22,0.28,0.22,0.37,0.42,0.38,0.37,0.31,0.3,0.26,0.48,0.28,0.35,0.45,0.4,0.38,0.4,0.38,0.33,0.46,0.32,0.86,0.59,0.54,0.51,0.82,0.69,0.35,0.7,0.4,0.66,0.35,0.33,0.56,0.11,0.12,0.21,0.56,0.85,0.62,0.59,0.61,0.66,0.59,0.49,0.13,0.11
g_eo,"EO  (n=72,224)",0.53,0.7,0.79,0.65,0.79,0.5,0.72,0.7,0.25,0.36,0.87,0.8,0.73,0.49,0.61,0.81,0.77,0.8,0.66,0.76,0.75,0.63,0.67,0.76,0.67,0.61,0.59,0.4,0.84,0.81,0.72,0.61,0.52,0.46,0.42,0.75,0.84,0.59,0.69,0.83,0.64,0.74,0.82,0.61,0.58,0.66,0.24,0.3,0.22,0.37,0.42,0.39,0.39,0.32,0.28,0.25,0.49,0.29,0.36,0.47,0.39,0.44,0.4,0.38,0.36,0.5,0.36,0.85,0.64,0.58,0.58,0.82,0.65,0.33,0.68,0.4,0.66,0.34,0.33,0.57,0.11,0.12,0.21,0.56,0.89,0.68,0.61,0.62,0.69,0.61,0.5,0.14,0.13
g_seoheo,"SEO/HEO  (n=71,124)",0.55,0.77,0.82,0.68,0.81,0.54,0.76,0.69,0.29,0.39,0.91,0.84,0.77,0.59,0.75,0.85,0.79,0.82,0.68,0.82,0.82,0.63,0.73,0.78,0.66,0.61,0.62,0.41,0.85,0.82,0.76,0.63,0.55,0.49,0.49,0.79,0.86,0.64,0.73,0.8,0.64,0.72,0.84,0.62,0.56,0.65,0.3,0.33,0.24,0.39,0.49,0.44,0.42,0.37,0.26,0.25,0.54,0.33,0.41,0.52,0.41,0.48,0.4,0.37,0.41,0.55,0.36,0.87,0.7,0.64,0.67,0.78,0.67,0.36,0.72,0.46,0.73,0.38,0.35,0.59,0.09,0.13,0.27,0.51,0.94,0.7,0.66,0.64,0.71,0.62,0.5,0.12,0.11
g_g6g7,"G6/G7  (n=29,881)",0.59,0.84,0.85,0.69,0.85,0.57,0.79,0.7,0.35,0.46,0.95,0.89,0.83,0.68,0.83,0.88,0.83,0.86,0.7,0.83,0.85,0.67,0.76,0.79,0.65,0.61,0.63,0.46,0.88,0.86,0.82,0.65,0.58,0.5,0.53,0.81,0.88,0.69,0.75,0.83,0.69,0.77,0.91,0.64,0.51,0.56,0.38,0.38,0.3,0.45,0.58,0.51,0.44,0.45,0.3,0.29,0.62,0.44,0.49,0.6,0.47,0.54,0.45,0.44,0.53,0.67,0.44,0.88,0.73,0.7,0.78,0.76,0.69,0.43,0.76,0.55,0.77,0.45,0.41,0.66,0.08,0.16,0.34,0.42,0.96,0.75,0.75,0.68,0.75,0.64,0.49,0.1,0.1
g_scs,"SCS  (n=4,330)",0.74,0.93,0.93,0.82,0.94,0.74,0.89,0.8,0.37,0.71,0.98,0.94,0.93,0.88,0.92,0.93,0.91,0.93,0.84,0.85,0.92,0.83,0.87,0.86,0.75,0.76,0.75,0.73,0.95,0.94,0.93,0.81,0.76,0.66,0.71,0.9,0.94,0.85,0.86,0.93,0.85,0.9,0.97,0.77,0.61,0.59,0.39,0.41,0.3,0.7,0.79,0.77,0.64,0.75,0.57,0.57,0.82,0.73,0.74,0.81,0.72,0.71,0.7,0.7,0.81,0.87,0.75,0.94,0.86,0.86,0.89,0.8,0.84,0.74,0.89,0.8,0.89,0.74,0.72,0.83,0.05,0.15,0.36,0.43,0.97,0.87,0.88,0.77,0.85,0.74,0.57,0.05,0.05
c_england,"England  (n=217,987)",0.54,0.71,0.8,0.66,0.8,0.5,0.73,0.69,0.27,0.37,0.87,0.79,0.73,0.52,0.65,0.82,0.77,0.8,0.67,0.78,0.78,0.63,0.7,0.77,0.67,0.61,0.6,0.41,0.84,0.81,0.74,0.61,0.52,0.46,0.43,0.76,0.85,0.61,0.7,0.82,0.64,0.74,0.83,0.61,0.57,0.64,0.27,0.31,0.24,0.37,0.45,0.41,0.39,0.34,0.27,0.25,0.51,0.31,0.38,0.49,0.39,0.44,0.4,0.37,0.38,0.52,0.35,0.86,0.65,0.6,0.6,0.79,0.67,0.35,0.7,0.43,0.69,0.36,0.34,0.57,0.11,0.13,0.25,0.51,0.9,0.67,0.63,0.62,0.69,0.6,0.49,0.13,0.12
c_scotland,"Scotland  (n=27,527)",0.54,0.69,0.82,0.67,0.8,0.52,0.73,0.72,0.26,0.37,0.87,0.78,0.71,0.48,0.6,0.84,0.8,0.82,0.67,0.78,0.76,0.63,0.7,0.77,0.68,0.62,0.63,0.41,0.86,0.81,0.72,0.63,0.52,0.49,0.43,0.78,0.85,0.58,0.71,0.84,0.65,0.75,0.84,0.65,0.61,0.68,0.25,0.3,0.23,0.39,0.43,0.4,0.39,0.35,0.28,0.26,0.5,0.3,0.37,0.48,0.42,0.43,0.4,0.38,0.36,0.5,0.33,0.86,0.63,0.58,0.59,0.8,0.66,0.33,0.69,0.41,0.68,0.35,0.32,0.56,0.11,0.11,0.21,0.56,0.9,0.69,0.64,0.66,0.72,0.63,0.53,0.12,0.11
c_wales,"Wales  (n=17,730)",0.56,0.7,0.81,0.7,0.83,0.54,0.75,0.75,0.3,0.4,0.86,0.78,0.72,0.51,0.62,0.83,0.78,0.81,0.71,0.8,0.8,0.68,0.73,0.79,0.72,0.67,0.64,0.48,0.88,0.85,0.77,0.66,0.53,0.52,0.44,0.79,0.87,0.61,0.73,0.86,0.69,0.77,0.85,0.68,0.65,0.72,0.28,0.35,0.26,0.42,0.47,0.42,0.43,0.36,0.33,0.31,0.52,0.33,0.4,0.51,0.49,0.45,0.44,0.42,0.38,0.52,0.36,0.88,0.67,0.59,0.59,0.85,0.71,0.37,0.73,0.44,0.72,0.39,0.36,0.62,0.09,0.1,0.19,0.62,0.88,0.65,0.65,0.65,0.7,0.61,0.5,0.12,0.1
c_nire,"Northern Ireland  (n=1,788)",0.54,0.71,0.82,0.66,0.8,0.52,0.73,0.72,0.28,0.34,0.89,0.83,0.74,0.49,0.59,0.84,0.79,0.84,0.67,0.77,0.76,0.65,0.7,0.77,0.68,0.62,0.61,0.43,0.84,0.82,0.75,0.65,0.53,0.46,0.43,0.77,0.83,0.6,0.7,0.86,0.66,0.78,0.82,0.64,0.61,0.66,0.28,0.3,0.27,0.35,0.46,0.41,0.38,0.32,0.26,0.2,0.46,0.26,0.32,0.45,0.38,0.47,0.39,0.37,0.36,0.47,0.33,0.85,0.62,0.57,0.55,0.82,0.67,0.35,0.69,0.43,0.67,0.37,0.33,0.59,0.1,0.08,0.16,0.67,0.92,0.69,0.62,0.65,0.72,0.65,0.49,0.11,0.11
c_overseas,"Overseas  (n=12,635)",0.67,0.78,0.82,0.69,0.79,0.53,0.76,0.75,0.28,0.53,0.92,0.81,0.8,0.63,0.71,0.83,0.79,0.83,0.71,0.74,0.78,0.65,0.7,0.79,0.67,0.69,0.64,0.52,0.82,0.8,0.76,0.57,0.57,0.43,0.52,0.77,0.83,0.7,0.74,0.87,0.73,0.81,0.9,0.68,0.61,0.67,0.29,0.31,0.24,0.59,0.67,0.63,0.5,0.54,0.44,0.37,0.61,0.43,0.47,0.76,0.6,0.63,0.59,0.57,0.54,0.57,0.44,0.89,0.68,0.69,0.73,0.8,0.7,0.59,0.73,0.67,0.74,0.61,0.52,0.59,0.07,0.13,0.27,0.53,0.72,0.56,0.6,0.66,0.73,0.66,0.47,0.14,0.12
