id,description,respondents,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey  ",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. When I talk about [my organisation] I say ""we"" rather than ""they” ",B61. I have some really good friendships at work ,B62 [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement ,B63 My manager actively role models the behaviours set out in the Civil Service Leadership Statement,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? ,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?"
g_aoaa,AO/AA,71387,0.53,0.61,0.78,0.67,0.79,0.48,0.71,0.73,0.27,0.37,0.81,0.7,0.65,0.41,0.49,0.8,0.76,0.79,0.68,0.76,0.74,0.64,0.69,0.77,0.72,0.65,0.62,0.44,0.85,0.81,0.71,0.61,0.47,0.47,0.37,0.74,0.84,0.56,0.69,0.86,0.65,0.77,0.83,0.63,0.65,0.71,0.25,0.3,0.25,0.38,0.44,0.4,0.38,0.33,0.31,0.27,0.5,0.29,0.35,0.47,0.42,0.39,0.41,0.39,0.35,0.46,0.32,0.86,0.59,0.54,0.83,0.38,0.58,0.11,0.12,0.21,0.56,0.86,0.64,0.61,0.61,0.66,0.59,0.48,0.14,0.11,0.4,0.22
g_eo,EO,72720,0.56,0.72,0.81,0.67,0.8,0.53,0.74,0.71,0.31,0.39,0.88,0.81,0.75,0.51,0.63,0.83,0.79,0.82,0.68,0.78,0.77,0.65,0.7,0.77,0.69,0.63,0.62,0.42,0.85,0.82,0.73,0.62,0.54,0.51,0.45,0.77,0.85,0.62,0.72,0.84,0.66,0.75,0.83,0.62,0.61,0.69,0.31,0.34,0.28,0.4,0.45,0.42,0.42,0.36,0.31,0.29,0.53,0.32,0.39,0.51,0.45,0.47,0.44,0.42,0.39,0.53,0.38,0.86,0.65,0.62,0.83,0.39,0.61,0.1,0.11,0.21,0.57,0.91,0.7,0.65,0.64,0.7,0.63,0.51,0.14,0.12,0.36,0.2
g_seoheo,SEO/HEO,72821,0.57,0.78,0.83,0.69,0.82,0.55,0.77,0.7,0.32,0.41,0.91,0.84,0.78,0.6,0.76,0.85,0.8,0.83,0.69,0.84,0.83,0.65,0.75,0.79,0.67,0.62,0.63,0.41,0.85,0.83,0.77,0.63,0.55,0.53,0.51,0.8,0.86,0.66,0.74,0.8,0.65,0.72,0.85,0.64,0.57,0.67,0.33,0.34,0.27,0.42,0.51,0.46,0.43,0.4,0.28,0.27,0.56,0.35,0.43,0.55,0.46,0.5,0.43,0.4,0.44,0.57,0.37,0.87,0.71,0.7,0.79,0.41,0.63,0.09,0.12,0.27,0.52,0.94,0.71,0.68,0.66,0.71,0.63,0.51,0.13,0.12,0.32,0.22
g_g6g7,G6/G7,31603,0.61,0.84,0.85,0.71,0.86,0.58,0.8,0.71,0.37,0.48,0.95,0.89,0.84,0.69,0.84,0.87,0.82,0.86,0.72,0.84,0.86,0.68,0.78,0.8,0.65,0.62,0.65,0.47,0.88,0.86,0.82,0.65,0.57,0.55,0.54,0.83,0.89,0.71,0.77,0.83,0.7,0.77,0.91,0.66,0.53,0.59,0.4,0.39,0.32,0.48,0.6,0.53,0.46,0.48,0.31,0.31,0.63,0.45,0.51,0.62,0.52,0.56,0.48,0.46,0.56,0.69,0.46,0.89,0.75,0.81,0.77,0.5,0.71,0.07,0.15,0.35,0.43,0.96,0.76,0.76,0.69,0.76,0.67,0.51,0.1,0.1,0.33,0.22
g_scs,SCS,4456,0.76,0.93,0.93,0.82,0.95,0.74,0.89,0.81,0.39,0.72,0.97,0.94,0.93,0.89,0.93,0.93,0.91,0.94,0.85,0.86,0.91,0.84,0.89,0.87,0.76,0.76,0.76,0.73,0.95,0.95,0.94,0.81,0.74,0.7,0.73,0.91,0.94,0.86,0.87,0.93,0.85,0.89,0.96,0.78,0.61,0.6,0.43,0.43,0.33,0.72,0.81,0.78,0.65,0.76,0.58,0.6,0.83,0.74,0.75,0.82,0.74,0.74,0.73,0.73,0.83,0.89,0.75,0.94,0.87,0.9,0.79,0.78,0.85,0.05,0.13,0.39,0.43,0.98,0.87,0.89,0.78,0.85,0.76,0.59,0.06,0.06,0.32,0.21
c_england,England,217239,0.56,0.72,0.8,0.67,0.8,0.52,0.74,0.7,0.3,0.39,0.88,0.8,0.74,0.53,0.66,0.82,0.78,0.81,0.68,0.79,0.78,0.64,0.71,0.77,0.67,0.62,0.61,0.42,0.85,0.82,0.74,0.61,0.52,0.49,0.45,0.77,0.85,0.62,0.72,0.83,0.65,0.74,0.84,0.62,0.58,0.66,0.31,0.33,0.27,0.4,0.47,0.44,0.4,0.37,0.29,0.27,0.53,0.33,0.4,0.52,0.44,0.46,0.42,0.4,0.41,0.53,0.36,0.86,0.66,0.64,0.8,0.4,0.61,0.1,0.13,0.26,0.51,0.91,0.69,0.65,0.63,0.7,0.62,0.5,0.13,0.12,0.36,0.21
c_scotland,Scotland,27883,0.55,0.69,0.83,0.68,0.81,0.54,0.74,0.73,0.3,0.39,0.87,0.78,0.72,0.49,0.61,0.85,0.81,0.83,0.69,0.79,0.77,0.65,0.72,0.78,0.7,0.64,0.65,0.43,0.86,0.82,0.73,0.63,0.53,0.54,0.46,0.79,0.85,0.6,0.72,0.85,0.66,0.76,0.85,0.66,0.63,0.7,0.3,0.33,0.27,0.41,0.46,0.43,0.41,0.37,0.3,0.28,0.53,0.32,0.39,0.51,0.46,0.45,0.42,0.41,0.39,0.51,0.35,0.86,0.64,0.62,0.81,0.38,0.6,0.1,0.11,0.22,0.58,0.92,0.72,0.67,0.67,0.72,0.64,0.53,0.13,0.11,0.35,0.2
c_wales,Wales,18467,0.59,0.72,0.83,0.72,0.83,0.57,0.77,0.76,0.36,0.44,0.87,0.8,0.74,0.53,0.64,0.85,0.81,0.84,0.72,0.82,0.8,0.7,0.75,0.8,0.74,0.68,0.67,0.5,0.88,0.85,0.77,0.67,0.55,0.56,0.48,0.8,0.87,0.65,0.76,0.87,0.72,0.79,0.86,0.69,0.68,0.74,0.35,0.41,0.32,0.47,0.51,0.47,0.47,0.42,0.36,0.34,0.57,0.36,0.44,0.56,0.55,0.49,0.48,0.47,0.43,0.56,0.4,0.89,0.69,0.65,0.86,0.44,0.66,0.08,0.09,0.2,0.64,0.89,0.68,0.68,0.67,0.71,0.64,0.5,0.11,0.1,0.34,0.2
c_nire,Northern Ireland,1784,0.51,0.7,0.82,0.67,0.81,0.52,0.72,0.71,0.27,0.33,0.88,0.83,0.71,0.48,0.57,0.83,0.8,0.83,0.67,0.8,0.77,0.65,0.72,0.77,0.69,0.6,0.6,0.43,0.85,0.83,0.76,0.62,0.52,0.51,0.43,0.77,0.84,0.58,0.7,0.85,0.64,0.77,0.8,0.6,0.61,0.68,0.26,0.28,0.25,0.32,0.46,0.39,0.35,0.31,0.24,0.21,0.46,0.27,0.31,0.39,0.37,0.43,0.37,0.35,0.36,0.48,0.33,0.84,0.63,0.57,0.84,0.35,0.62,0.11,0.08,0.16,0.65,0.92,0.69,0.62,0.64,0.72,0.62,0.5,0.13,0.12,0.28,0.19
c_overseas,Overseas,12411,0.67,0.78,0.82,0.69,0.79,0.55,0.76,0.75,0.3,0.52,0.92,0.81,0.79,0.62,0.72,0.83,0.79,0.84,0.71,0.74,0.78,0.66,0.71,0.79,0.68,0.69,0.65,0.51,0.82,0.8,0.75,0.59,0.59,0.47,0.56,0.77,0.84,0.7,0.74,0.85,0.72,0.81,0.9,0.67,0.63,0.67,0.31,0.33,0.26,0.56,0.64,0.6,0.5,0.53,0.44,0.37,0.6,0.42,0.47,0.75,0.6,0.63,0.58,0.56,0.53,0.57,0.44,0.88,0.68,0.75,0.82,0.55,0.61,0.07,0.11,0.26,0.56,0.72,0.57,0.61,0.66,0.73,0.66,0.48,0.16,0.13,0.38,0.19
