id,description,responses,Employee engagement index 2,My work ,Organisational objectives and purpose 3,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload 3,Pay and benefits ,Leadership and managing change 3,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives 4,B07. I understand how my work contributes to [my organisation's] objectives ,B08. My manager motivates me to be more effective in my job ,B09. My manager is considerate of my life outside work ,B10. My manager is open to my ideas ,B11. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B12. Overall, I have confidence in the decisions made by my manager ",B13. My manager recognises when I have done my job well ,B14. I receive regular feedback on my performance ,B15. The feedback I receive helps me to improve my performance ,B16. I think that my performance is evaluated fairly ,B17. Poor performance is dealt with effectively in my team ,B18. The people in my team can be relied upon to help when things get difficult in my job ,B19. The people in my team work together to find ways to improve the service we provide ,B20. The people in my team are encouraged to come up with new and better ways of doing things ,B21. I am able to access the right learning and development opportunities when I need to ,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B23. There are opportunities for me to develop my career in [my organisation] ,B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B25. I am treated fairly at work ,B26. I am treated with respect by the people I work with ,B27. I feel valued for the work I do ,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ",B29. I get the information I need to do my job well ,B30. I have clear work objectives ,B31. I have the skills I need to do my job effectively ,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance ,B36. I am satisfied with the total benefits package ,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B38. [Senior managers] in [my organisation] are sufficiently visible ,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B40. I believe that [the board has] a clear vision for the future of [my organisation] ,"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B42. I feel that change is managed well in [my organisation] ,B43. When changes are made in [my organisation] they are usually for the better ,B44. [My organisation] keeps me informed about matters that affect me ,B45. I have the opportunity to contribute my views before decisions are made that affect me ,B46. I think it is safe to challenge the way things are done in [my organisation] ,B47. I am proud when I tell others I am part of [my organisation] ,B48. I would recommend [my organisation] as a great place to work ,B49. I feel a strong personal attachment to [my organisation] ,B50. [My organisation] inspires me to do the best in my job ,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,"B53. Where I work, I think effective action has been taken on the results of the last survey  ",B54. I am trusted to carry out my job effectively ,"B55. I believe I would be supported if I try a new idea, even if it may not work ","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59 [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement ,B60 My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? ,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?"
g_aoaa,AO/AA,74706,0.55,0.62,0.77,0.67,0.79,0.48,0.72,0.71,0.24,0.39,0.82,0.71,0.66,0.42,0.51,0.76,0.79,0.68,0.77,0.74,0.65,0.7,0.77,0.7,0.65,0.64,0.44,0.85,0.81,0.71,0.6,0.47,0.47,0.37,0.75,0.83,0.58,0.71,0.65,0.77,0.83,0.63,0.66,0.71,0.21,0.29,0.21,0.5,0.44,0.4,0.36,0.32,0.28,0.5,0.29,0.37,0.5,0.44,0.41,0.43,0.41,0.36,0.31,0.87,0.6,0.64,0.6,0.7,0.42,0.61,0.44,0.43,0.11,0.12,0.21,0.56,0.84,0.63,0.62,0.59,0.64,0.58,0.47,0.14,0.12,0.43,0.2
g_eo,EO,72014,0.57,0.73,0.81,0.69,0.81,0.55,0.76,0.71,0.3,0.42,0.88,0.8,0.76,0.53,0.66,0.8,0.83,0.7,0.81,0.79,0.67,0.72,0.79,0.71,0.65,0.66,0.43,0.86,0.82,0.75,0.64,0.55,0.53,0.47,0.78,0.85,0.65,0.74,0.67,0.76,0.84,0.64,0.65,0.72,0.29,0.35,0.27,0.51,0.47,0.45,0.4,0.33,0.31,0.55,0.34,0.42,0.54,0.49,0.48,0.47,0.45,0.42,0.38,0.87,0.68,0.65,0.65,0.74,0.44,0.65,0.47,0.44,0.1,0.11,0.23,0.57,0.91,0.7,0.66,0.64,0.7,0.62,0.5,0.14,0.12,0.39,0.2
g_seoheo,SEO/HEO,80590,0.58,0.78,0.82,0.7,0.82,0.56,0.78,0.69,0.31,0.44,0.91,0.84,0.78,0.61,0.78,0.81,0.83,0.71,0.85,0.84,0.66,0.76,0.8,0.68,0.63,0.66,0.41,0.86,0.83,0.77,0.62,0.55,0.55,0.51,0.81,0.87,0.67,0.76,0.66,0.73,0.85,0.64,0.6,0.69,0.31,0.34,0.26,0.58,0.52,0.44,0.43,0.3,0.29,0.57,0.36,0.45,0.57,0.5,0.5,0.45,0.42,0.46,0.38,0.88,0.73,0.66,0.69,0.76,0.46,0.68,0.45,0.37,0.08,0.12,0.28,0.52,0.94,0.71,0.69,0.66,0.71,0.63,0.5,0.13,0.11,0.35,0.21
g_g6g7,G6/G7,35908,0.62,0.85,0.86,0.72,0.86,0.59,0.81,0.7,0.37,0.5,0.95,0.89,0.84,0.71,0.85,0.85,0.87,0.74,0.86,0.87,0.7,0.8,0.81,0.67,0.64,0.67,0.46,0.89,0.87,0.83,0.65,0.58,0.57,0.56,0.84,0.89,0.73,0.79,0.71,0.77,0.91,0.66,0.54,0.61,0.39,0.4,0.32,0.65,0.57,0.46,0.5,0.32,0.33,0.64,0.46,0.53,0.64,0.56,0.56,0.5,0.48,0.58,0.48,0.9,0.77,0.7,0.74,0.8,0.53,0.74,0.51,0.39,0.07,0.14,0.35,0.44,0.96,0.77,0.77,0.7,0.76,0.66,0.49,0.1,0.1,0.35,0.21
g_scs,SCS,4930,0.77,0.94,0.94,0.84,0.95,0.76,0.9,0.79,0.41,0.74,0.98,0.95,0.94,0.9,0.94,0.94,0.95,0.86,0.88,0.93,0.85,0.89,0.89,0.77,0.78,0.78,0.75,0.96,0.95,0.95,0.82,0.76,0.71,0.75,0.91,0.94,0.87,0.88,0.87,0.9,0.96,0.78,0.62,0.62,0.43,0.45,0.34,0.85,0.81,0.66,0.79,0.58,0.61,0.83,0.76,0.77,0.85,0.79,0.76,0.76,0.75,0.85,0.78,0.95,0.88,0.84,0.9,0.9,0.81,0.88,0.72,0.64,0.05,0.13,0.38,0.44,0.97,0.88,0.9,0.8,0.87,0.77,0.58,0.06,0.06,0.38,0.15
c_england,England,225994,0.57,0.73,0.8,0.68,0.81,0.53,0.75,0.69,0.29,0.42,0.88,0.8,0.75,0.55,0.68,0.79,0.82,0.69,0.81,0.8,0.66,0.73,0.78,0.68,0.63,0.64,0.42,0.85,0.82,0.75,0.61,0.52,0.51,0.46,0.78,0.85,0.64,0.73,0.66,0.74,0.85,0.62,0.6,0.67,0.29,0.32,0.25,0.54,0.49,0.42,0.4,0.31,0.29,0.54,0.34,0.42,0.55,0.47,0.47,0.45,0.42,0.43,0.37,0.88,0.68,0.65,0.66,0.73,0.45,0.65,0.46,0.4,0.09,0.13,0.27,0.51,0.9,0.69,0.67,0.63,0.69,0.61,0.49,0.14,0.12,0.38,0.2
c_scotland,Scotland,29162,0.57,0.71,0.82,0.7,0.82,0.55,0.76,0.73,0.28,0.42,0.88,0.79,0.74,0.52,0.64,0.82,0.83,0.71,0.82,0.79,0.67,0.74,0.79,0.7,0.65,0.68,0.44,0.87,0.83,0.75,0.65,0.54,0.56,0.47,0.8,0.86,0.63,0.75,0.68,0.77,0.86,0.67,0.66,0.72,0.27,0.33,0.24,0.52,0.48,0.43,0.41,0.31,0.3,0.54,0.34,0.42,0.53,0.49,0.47,0.45,0.43,0.42,0.37,0.88,0.67,0.64,0.65,0.74,0.43,0.64,0.45,0.4,0.1,0.1,0.22,0.58,0.92,0.73,0.68,0.67,0.71,0.63,0.52,0.12,0.11,0.36,0.2
c_wales,Wales,23630,0.6,0.73,0.82,0.73,0.83,0.57,0.78,0.75,0.36,0.45,0.88,0.8,0.75,0.55,0.67,0.81,0.84,0.74,0.85,0.82,0.71,0.76,0.81,0.74,0.69,0.69,0.48,0.88,0.85,0.77,0.67,0.55,0.55,0.49,0.81,0.87,0.67,0.77,0.71,0.79,0.87,0.69,0.67,0.74,0.33,0.42,0.32,0.57,0.5,0.47,0.44,0.35,0.33,0.56,0.37,0.45,0.58,0.57,0.5,0.49,0.47,0.44,0.39,0.9,0.7,0.69,0.66,0.77,0.46,0.68,0.47,0.43,0.06,0.09,0.21,0.63,0.89,0.69,0.69,0.66,0.7,0.61,0.48,0.11,0.09,0.38,0.22
c_nire,Northern Ireland,1935,0.55,0.71,0.82,0.69,0.82,0.52,0.73,0.69,0.25,0.39,0.88,0.81,0.73,0.5,0.61,0.8,0.84,0.7,0.81,0.78,0.67,0.73,0.77,0.71,0.63,0.66,0.45,0.86,0.84,0.76,0.61,0.52,0.51,0.44,0.77,0.83,0.61,0.72,0.62,0.76,0.8,0.64,0.62,0.68,0.24,0.3,0.22,0.56,0.47,0.38,0.37,0.27,0.25,0.51,0.28,0.37,0.47,0.44,0.45,0.43,0.4,0.38,0.32,0.87,0.65,0.65,0.62,0.73,0.43,0.66,0.46,0.41,0.09,0.08,0.18,0.65,0.91,0.7,0.64,0.66,0.72,0.64,0.49,0.15,0.14,0.38,0.18
c_overseas,Overseas,12159,0.68,0.78,0.84,0.71,0.81,0.56,0.77,0.75,0.31,0.54,0.93,0.82,0.81,0.63,0.73,0.82,0.86,0.72,0.77,0.8,0.68,0.72,0.8,0.69,0.7,0.67,0.52,0.83,0.82,0.77,0.61,0.59,0.47,0.56,0.78,0.84,0.71,0.76,0.72,0.81,0.91,0.68,0.64,0.7,0.32,0.35,0.26,0.7,0.64,0.52,0.56,0.45,0.39,0.61,0.44,0.48,0.76,0.63,0.64,0.61,0.59,0.55,0.45,0.89,0.69,0.69,0.66,0.73,0.59,0.66,0.4,0.41,0.07,0.11,0.26,0.55,0.72,0.58,0.62,0.68,0.74,0.67,0.48,0.16,0.13,0.41,0.18
