Departmental grouping,Organisation,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)"
Civil Service,Civil Service benchmark,58%,75%,81%,64%,76%,50%,74%,72%,37%,38%,90%,76%,74%,56%,72%,84%,78%,82%,61%,77%,78%,59%,70%,76%,60%,57%,63%,38%,83%,79%,68%,63%,51%,39%,44%,79%,85%,62%,71%,81%,63%,72%,87%,72%,60%,68%,36%,44%,33%,40%,45%,39%,36%,36%,27%,25%,56%,34%,39%,56%,48%,45%,40%,38%,37%,45%,75%,44%,58%,10%,10%
Attorney General's Departments,Attorney General's Office,72%,87%,81%,83%,88%,57%,87%,74%,51%,61%,98%,87%,89%,71%,91%,80%,73%,88%,84%,89%,95%,86%,91%,95%,77%,66%,82%,60%,90%,88%,84%,58%,64%,50%,59%,93%,91%,84%,80%,80%,78%,80%,87%,71%,60%,64%,51%,53%,49%,64%,76%,75%,41%,70%,51%,52%,64%,59%,61%,84%,76%,73%,71%,60%,69%,73%,96%,62%,77%,4%,11%
Attorney General's Departments,Crown Prosecution Service,56%,68%,85%,55%,66%,47%,67%,66%,40%,30%,92%,76%,74%,44%,55%,88%,83%,85%,52%,66%,67%,55%,60%,66%,52%,49%,55%,30%,76%,68%,54%,59%,50%,37%,40%,71%,79%,51%,67%,82%,56%,70%,88%,60%,47%,56%,38%,45%,38%,32%,35%,37%,36%,31%,21%,18%,41%,24%,26%,51%,40%,49%,38%,34%,29%,34%,70%,42%,49%,13%,11%
Attorney General's Departments,HM CPS Inspectorate,51%,57%,80%,56%,68%,39%,63%,68%,39%,39%,90%,68%,68%,25%,33%,85%,75%,80%,56%,63%,50%,63%,65%,65%,58%,60%,58%,28%,80%,80%,43%,48%,50%,10%,46%,83%,83%,45%,40%,83%,35%,73%,95%,73%,68%,53%,43%,35%,40%,33%,78%,40%,50%,38%,25%,25%,45%,30%,23%,51%,26%,38%,33%,28%,23%,38%,85%,53%,51%,8%,10%
Attorney General's Departments,Serious Fraud Office,54%,63%,70%,55%,69%,35%,63%,56%,21%,22%,91%,66%,68%,32%,58%,72%,69%,69%,56%,80%,73%,47%,65%,68%,40%,42%,46%,29%,79%,67%,60%,37%,38%,25%,39%,65%,75%,49%,62%,68%,36%,49%,77%,46%,50%,63%,23%,26%,15%,19%,15%,24%,34%,19%,18%,25%,27%,14%,21%,61%,32%,49%,34%,27%,12%,34%,71%,38%,37%,19%,18%
Attorney General's Departments,TSol,64%,78%,83%,70%,77%,63%,80%,77%,32%,42%,93%,83%,80%,58%,76%,85%,83%,82%,69%,83%,84%,63%,79%,81%,62%,63%,70%,40%,85%,78%,68%,77%,66%,54%,55%,82%,89%,70%,80%,86%,69%,78%,93%,74%,69%,71%,33%,37%,24%,54%,50%,44%,43%,41%,32%,23%,60%,34%,36%,66%,66%,50%,49%,44%,42%,52%,91%,53%,74%,9%,9%
"Business, Innovation and Skills","Department for Business, Innovation and Skills",53%,76%,79%,66%,79%,53%,76%,72%,36%,43%,91%,79%,75%,58%,77%,81%,76%,80%,63%,80%,81%,59%,73%,78%,61%,61%,64%,38%,83%,80%,74%,68%,57%,44%,46%,82%,86%,66%,71%,82%,67%,74%,88%,73%,58%,63%,37%,41%,30%,46%,54%,45%,40%,41%,40%,24%,66%,31%,39%,40%,39%,30%,30%,31%,46%,51%,90%,49%,64%,9%,8%
"Business, Innovation and Skills",Acas,63%,71%,86%,59%,69%,45%,74%,70%,38%,34%,92%,76%,79%,43%,67%,89%,81%,88%,57%,74%,71%,58%,63%,74%,61%,52%,56%,26%,81%,70%,57%,53%,51%,34%,42%,76%,86%,59%,73%,82%,66%,69%,87%,74%,51%,61%,37%,41%,36%,37%,39%,31%,34%,30%,21%,20%,56%,29%,44%,72%,54%,57%,46%,42%,33%,48%,50%,32%,50%,8%,11%
"Business, Innovation and Skills",Companies House ,65%,72%,90%,63%,80%,52%,76%,79%,45%,48%,89%,76%,73%,51%,68%,92%,88%,91%,61%,77%,72%,60%,67%,72%,60%,56%,64%,40%,86%,84%,68%,66%,51%,44%,48%,78%,84%,62%,81%,86%,67%,80%,87%,78%,74%,79%,39%,56%,40%,63%,44%,49%,59%,50%,38%,40%,61%,34%,47%,61%,71%,54%,51%,48%,46%,47%,52%,31%,51%,9%,9%
"Business, Innovation and Skills",Insolvency Service,59%,73%,87%,68%,72%,56%,76%,77%,37%,44%,88%,74%,71%,57%,75%,90%,84%,88%,66%,78%,77%,66%,75%,78%,66%,63%,69%,45%,81%,72%,63%,69%,53%,52%,48%,78%,83%,64%,77%,87%,69%,82%,89%,72%,65%,75%,35%,43%,33%,51%,47%,43%,40%,39%,36%,35%,65%,36%,43%,48%,57%,42%,44%,42%,46%,56%,60%,38%,54%,11%,10%
