Departmental grouping,Organisation,org_2010,Employee Engagement Index,My work theme score (B01-B05 average),Organisational objectives and purpose theme score (B06-B08 average),My line manager theme score (B09-B18 average),My team theme score (B19-B21 average),Learning and development theme score (B22-B25 average),Inclusion and fair treatment theme score (B26-B29 average),Resources and workload theme score (B30-B36 average),Pay and benefits theme score (B37-B39 average),Leadership and managing change theme score (B40-B49 average),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),C01. I know where to go to find out how to handle personal and sensitive information (% strongly agree or agree),C02. In the past 12 months have you received training on handling data and procedures to protect personal and sensitive information? (% yes),E01. Are you aware of the Civil Service Code? (% yes),E02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),E03. Are you confident that if you raised a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),F01. During the past 12 months have you personally experienced discrimination at work? (% yes),F03. During the past 12 months have you personally experienced bullying or harassment at work? (% yes)
Civil Service overall,Civil Service 2010 benchmark (median),CSPS,56,71,81,64,77,43,73,73,37,37,89,73,72,49,70,84,78,80,62,78,77,58,69,77,60,57,62,37,83,78,70,55,48,28,41,78,84,60,71,82,67,74,88,72,62,70,38,39,31,41,45,39,35,36,27,23,54,32,39,55,42,46,39,36,38,46,83,78,81,53,62,10,10
Attorney General's Departments,Attorney General's Office,AGO,73,80,90,79,91,46,87,84,32,64,91,76,79,76,76,91,91,88,76,91,91,76,85,88,79,69,72,55,97,91,85,62,50,24,48,91,91,79,85,91,82,88,97,85,68,74,38,33,24,74,79,65,59,59,67,42,71,65,62,82,79,73,82,76,71,74,97,100,97,82,91,3,0
Attorney General's Departments,Crown Prosecution Service,CPS,53,66,86,53,68,35,63,65,37,27,90,76,72,41,50,88,84,85,51,64,64,53,57,65,49,46,51,28,76,70,57,47,41,20,31,67,77,47,62,81,57,70,86,58,45,54,37,39,36,28,33,34,28,26,19,14,38,24,26,47,30,48,35,31,28,34,81,85,74,46,48,13,12
Attorney General's Departments,HM CPS Inspectorate,HMCPSI,47,57,69,50,71,31,55,60,39,28,90,60,60,30,43,80,67,60,53,67,63,37,47,60,43,47,57,23,90,87,37,37,50,7,30,62,87,27,47,60,30,47,90,77,60,57,40,37,40,30,20,23,33,30,23,27,30,33,27,30,10,30,30,27,27,43,83,83,93,57,43,3,3
Attorney General's Departments,Serious Fraud Office,SFO,51,65,70,56,68,32,57,63,24,18,90,68,69,36,62,78,63,70,54,76,76,43,64,69,46,47,51,31,76,66,61,28,37,27,35,57,73,42,58,73,49,54,86,53,59,68,27,26,20,18,17,18,23,18,15,18,26,15,16,58,28,51,34,29,19,29,80,81,77,40,36,21,22
Attorney General's Departments,TSol,TSOL,62,74,83,69,77,53,77,76,28,45,90,81,78,50,71,86,82,81,69,84,81,60,77,80,65,64,67,39,84,80,69,71,63,32,48,81,85,64,78,86,73,77,92,72,61,69,30,31,22,56,57,49,48,45,38,27,63,30,36,64,55,49,46,43,50,54,90,89,92,59,76,8,10
"Business, Innovation and Skills, Department for",Acas,ACAS,64,71,91,64,77,45,75,78,32,41,90,75,76,43,69,92,88,92,62,79,74,64,65,79,68,57,62,33,86,78,67,53,56,26,44,77,84,62,75,89,76,79,91,80,59,69,32,34,30,46,45,41,39,39,28,23,66,33,48,74,51,57,50,45,41,53,86,92,56,37,56,10,11
"Business, Innovation and Skills, Department for",Companies House,CH,61,66,88,66,78,39,74,79,38,39,83,67,68,48,63,91,85,89,64,82,76,62,68,78,66,60,66,41,86,81,68,51,42,27,38,77,84,59,77,87,68,80,87,77,74,80,37,42,36,50,37,37,44,36,31,26,54,30,40,52,60,53,44,41,35,42,84,83,58,42,54,12,10
"Business, Innovation and Skills, Department for","Department for Business, Innovation & Skills (excluding agencies)",BIS,50,71,73,66,78,43,74,71,29,36,88,75,70,51,73,75,68,76,65,82,80,57,73,78,60,60,65,38,83,78,72,52,48,30,41,79,84,62,70,79,67,72,89,73,57,64,31,30,25,38,50,40,29,33,31,18,58,28,34,36,30,30,27,26,35,46,88,93,95,61,67,8,8
"Business, Innovation and Skills, Department for",Insolvency Service,INSS,51,68,85,68,72,39,71,77,24,29,84,69,67,49,72,88,82,86,65,81,77,62,72,79,68,65,71,44,80,71,63,56,45,20,33,75,82,58,71,87,71,82,89,71,65,74,24,27,21,32,34,27,22,21,23,22,48,27,31,38,34,36,31,28,29,54,82,82,71,48,54,13,11
"Business, Innovation and Skills, Department for",Intellectual Property Office,IPO,52,69,72,59,73,48,66,73,31,30,85,78,69,40,70,76,65,75,56,74,70,52,63,69,58,54,56,33,85,75,57,59,56,35,42,72,83,47,63,82,65,72,88,77,59,70,31,35,27,33,40,29,26,25,18,17,49,30,31,47,40,40,29,26,34,39,85,84,81,45,60,11,9
"Business, Innovation and Skills, Department for",National Measurement Office,NMO,65,78,88,68,68,54,76,78,34,59,90,79,72,66,81,90,86,88,64,87,86,64,65,80,68,70,64,36,74,65,65,70,51,41,52,81,83,65,74,84,68,84,87,77,65,80,33,37,31,72,65,57,55,65,54,45,66,54,57,61,65,48,54,49,55,54,94,96,99,66,80,6,6
