Departmental grouping,Organisation,org_2011,Employee engagement index,My work theme score (B01-B05 average),Organisational objectives and purpose theme score (B06-B08 average),My line manager theme score (B09-B18 average),My team theme score (B19-B21 average),Learning and development theme score (B22-B25 average),Inclusion and fair treatment theme score (B26-B29 average),Resources and workload theme score (B30-B36 average),Pay and benefits theme score (B37-B39 average),Leadership and managing change theme score (B40-B49 average),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey",D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raised a concern under the Civil Service Code in [your organisation] it would be investigated properly?,"E01. During the past 12 months, have you personally experienced discrimination at work?","E03. During the past 12 months, have you personally experienced bullying or harassment at work?"
Civil Service,Civil Service 2011 benchmark (median),CSPS,0.56,0.71,0.81,0.64,0.77,0.43,0.73,0.73,0.31,0.38,0.89,0.75,0.72,0.49,0.71,0.84,0.79,0.81,0.63,0.79,0.79,0.58,0.71,0.76,0.6,0.58,0.62,0.37,0.82,0.78,0.69,0.54,0.45,0.31,0.4,0.78,0.84,0.59,0.7,0.82,0.67,0.74,0.88,0.7,0.61,0.67,0.32,0.34,0.27,0.4,0.46,0.39,0.39,0.36,0.27,0.23,0.55,0.36,0.38,0.52,0.43,0.46,0.38,0.36,0.39,0.49,0.29,0.86,0.59,0.64,0.1,0.09
Attorney General's Departments,Attorney General's Office,AGO,0.82,0.92,0.97,0.82,0.91,0.69,0.96,0.89,0.5,0.84,0.97,0.88,0.94,0.88,0.94,1,0.97,0.94,0.79,0.97,0.91,0.82,0.88,0.91,0.79,0.71,0.85,0.53,0.94,0.94,0.85,0.82,0.71,0.56,0.68,1,0.97,0.91,0.97,0.97,0.97,0.88,1,0.88,0.82,0.71,0.44,0.56,0.5,0.97,0.97,0.91,0.82,0.94,0.76,0.68,0.79,0.76,0.79,0.88,0.85,0.76,0.82,0.85,0.91,0.88,0.82,0.97,0.79,0.94,0,0.06
Attorney General's Departments,Crown Prosecution Service,CPS,0.49,0.62,0.82,0.5,0.64,0.3,0.6,0.61,0.33,0.24,0.88,0.75,0.68,0.36,0.44,0.85,0.81,0.81,0.49,0.62,0.6,0.49,0.54,0.61,0.46,0.43,0.48,0.26,0.74,0.67,0.52,0.45,0.36,0.16,0.23,0.64,0.74,0.44,0.57,0.8,0.53,0.66,0.84,0.53,0.41,0.48,0.32,0.35,0.32,0.24,0.29,0.32,0.27,0.24,0.16,0.14,0.34,0.21,0.23,0.41,0.26,0.44,0.29,0.26,0.24,0.31,0.2,0.79,0.52,0.47,0.14,0.14
Attorney General's Departments,HM CPS Inspectorate,HMCPSI,0.52,0.63,0.83,0.6,0.74,0.33,0.64,0.72,0.4,0.41,0.92,0.68,0.68,0.38,0.51,0.84,0.76,0.89,0.65,0.78,0.73,0.62,0.57,0.66,0.6,0.54,0.57,0.26,0.81,0.78,0.62,0.54,0.38,0.14,0.27,0.65,0.86,0.54,0.49,0.81,0.57,0.69,0.95,0.81,0.65,0.57,0.41,0.38,0.41,0.38,0.62,0.44,0.5,0.42,0.19,0.3,0.43,0.43,0.35,0.41,0.31,0.33,0.35,0.32,0.54,0.57,0.46,0.92,0.67,0.61,0.08,0.03
Attorney General's Departments,Serious Fraud Office,SFO,0.5,0.62,0.64,0.57,0.68,0.28,0.59,0.64,0.21,0.13,0.9,0.66,0.65,0.31,0.6,0.7,0.59,0.62,0.56,0.77,0.71,0.48,0.67,0.66,0.51,0.48,0.53,0.35,0.75,0.71,0.59,0.34,0.35,0.17,0.27,0.58,0.75,0.45,0.57,0.69,0.51,0.55,0.83,0.55,0.62,0.7,0.22,0.24,0.17,0.14,0.14,0.13,0.11,0.1,0.12,0.13,0.2,0.09,0.11,0.52,0.29,0.48,0.29,0.26,0.1,0.25,0.06,0.84,0.58,0.38,0.19,0.19
Attorney General's Departments,TSol,TSOL,0.6,0.74,0.82,0.69,0.76,0.51,0.77,0.76,0.19,0.47,0.89,0.8,0.78,0.5,0.74,0.87,0.81,0.79,0.69,0.84,0.81,0.62,0.76,0.79,0.68,0.64,0.66,0.4,0.83,0.79,0.67,0.71,0.61,0.31,0.42,0.78,0.84,0.66,0.79,0.87,0.73,0.78,0.9,0.68,0.65,0.68,0.22,0.21,0.15,0.56,0.64,0.5,0.46,0.48,0.41,0.28,0.65,0.35,0.35,0.59,0.53,0.46,0.44,0.41,0.58,0.6,0.42,0.94,0.67,0.78,0.07,0.09
"Business, Innovation and Skills","Department for Business, Innovation and Skills (excluding agencies)",BIS,0.49,0.74,0.74,0.65,0.8,0.43,0.74,0.68,0.27,0.33,0.89,0.79,0.73,0.55,0.75,0.77,0.7,0.75,0.66,0.8,0.8,0.58,0.75,0.78,0.59,0.58,0.6,0.38,0.83,0.81,0.76,0.53,0.44,0.37,0.39,0.8,0.86,0.63,0.68,0.79,0.66,0.72,0.85,0.63,0.51,0.59,0.29,0.29,0.23,0.31,0.46,0.34,0.29,0.28,0.24,0.17,0.59,0.32,0.33,0.35,0.3,0.29,0.26,0.24,0.33,0.48,0.19,0.95,0.62,0.68,0.09,0.08
"Business, Innovation and Skills",Acas,ACAS,0.65,0.73,0.91,0.69,0.78,0.51,0.77,0.79,0.38,0.45,0.9,0.78,0.79,0.46,0.69,0.93,0.88,0.91,0.65,0.84,0.77,0.7,0.71,0.82,0.71,0.63,0.68,0.35,0.88,0.78,0.69,0.64,0.6,0.32,0.45,0.79,0.88,0.65,0.78,0.89,0.79,0.79,0.93,0.82,0.6,0.71,0.38,0.39,0.37,0.51,0.48,0.4,0.45,0.4,0.3,0.29,0.67,0.45,0.52,0.76,0.58,0.6,0.5,0.46,0.46,0.56,0.38,0.73,0.49,0.66,0.08,0.08
"Business, Innovation and Skills",Companies House,CH,0.59,0.67,0.85,0.65,0.78,0.34,0.72,0.81,0.26,0.36,0.84,0.69,0.68,0.49,0.65,0.87,0.82,0.86,0.62,0.8,0.76,0.59,0.65,0.76,0.66,0.6,0.66,0.4,0.85,0.82,0.68,0.5,0.31,0.24,0.31,0.76,0.83,0.57,0.73,0.89,0.76,0.84,0.9,0.78,0.75,0.77,0.26,0.27,0.23,0.45,0.36,0.33,0.39,0.31,0.32,0.24,0.5,0.28,0.37,0.47,0.51,0.5,0.39,0.35,0.31,0.41,0.27,0.67,0.5,0.56,0.12,0.1
"Business, Innovation and Skills",The Insolvency Service,INSS,0.47,0.67,0.78,0.69,0.75,0.32,0.71,0.74,0.33,0.25,0.83,0.7,0.67,0.44,0.68,0.79,0.74,0.8,0.65,0.83,0.78,0.63,0.73,0.78,0.67,0.63,0.71,0.44,0.82,0.76,0.66,0.48,0.33,0.17,0.28,0.78,0.84,0.57,0.66,0.87,0.68,0.82,0.9,0.56,0.62,0.72,0.32,0.37,0.31,0.19,0.32,0.19,0.22,0.15,0.14,0.13,0.43,0.4,0.33,0.3,0.24,0.37,0.27,0.24,0.26,0.59,0.4,0.87,0.64,0.61,0.11,0.1
