Departmental grouping,Organisation,Acronym,Response rate,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)",B58. I am trusted to carry out my job effectively (% strongly agree or agree),"B59. I believe I would be supported if I tried a new idea, even if it may not work (% strongly agree or agree)","B60. My performance is evaluated based on whether I get things done, rather than solely follow process (% strongly agree or agree)","B61. When I talk about my organisation I say ""we"" rather than ""they"" (% strongly agree or agree)",B62. I have some really good friendships at work (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","W01. Overall, how satisfied are you with your life nowadays? (% rating 7-10)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7-10)","W03. Overall, how happy did you feel yesterday? (% rating 7-10)","W04. Overall, how anxious did you feel yesterday? (% rating 0-3)"
Civil Service,Civil Service benchmark,,78%,58%,74%,82%,67%,79%,47%,74%,74%,29%,42%,89%,78%,75%,54%,72%,85%,80%,83%,65%,80%,79%,62%,71%,77%,64%,60%,63%,38%,84%,80%,73%,61%,48%,38%,42%,78%,84%,63%,72%,83%,69%,75%,88%,71%,60%,68%,29%,32%,25%,43%,51%,43%,42%,41%,29%,27%,58%,36%,38%,56%,45%,46%,43%,40%,43%,54%,33%,88%,67%,65%,67%,76%,89%,64%,67%,10%,10%,63%,69%,60%,50%
Attorney General's Departments,Attorney General's Office,AGO,88%,71%,83%,88%,73%,79%,61%,84%,78%,27%,67%,94%,83%,91%,71%,77%,97%,80%,85%,74%,83%,80%,74%,74%,80%,69%,69%,71%,60%,86%,80%,71%,69%,63%,57%,57%,83%,89%,77%,89%,86%,74%,74%,94%,74%,71%,69%,26%,29%,26%,77%,86%,77%,60%,63%,57%,54%,74%,57%,63%,86%,71%,69%,71%,60%,80%,83%,77%,91%,83%,83%,86%,60%,100%,97%,100%,3%,3%,56%,72%,53%,44%
Attorney General's Departments,Crown Prosecution Service,CPS,48%,54%,69%,83%,60%,70%,41%,67%,65%,41%,36%,90%,81%,76%,47%,53%,85%,82%,83%,59%,70%,69%,60%,63%,70%,58%,55%,59%,35%,78%,72%,61%,55%,46%,29%,34%,70%,79%,54%,63%,83%,60%,74%,87%,57%,46%,51%,40%,43%,39%,35%,48%,43%,37%,35%,26%,22%,48%,34%,33%,49%,33%,52%,40%,37%,37%,47%,35%,81%,52%,50%,63%,80%,89%,64%,58%,13%,12%,56%,66%,54%,42%
Attorney General's Departments,HM CPS Inspectorate,HMCPSI,77%,49%,65%,71%,60%,80%,46%,79%,71%,30%,41%,87%,61%,65%,52%,61%,74%,65%,74%,57%,70%,70%,57%,52%,78%,61%,57%,61%,32%,91%,87%,61%,65%,50%,30%,36%,78%,91%,74%,74%,78%,61%,70%,91%,78%,57%,61%,35%,26%,30%,35%,52%,43%,35%,39%,39%,22%,57%,57%,30%,39%,35%,39%,39%,39%,43%,57%,39%,70%,43%,68%,68%,70%,96%,87%,78%,5%,4%,45%,48%,48%,48%
Attorney General's Departments,Serious Fraud Office,SFO,94%,59%,72%,84%,63%,71%,38%,70%,71%,20%,52%,92%,72%,74%,54%,70%,88%,82%,82%,63%,80%,76%,56%,67%,73%,57%,53%,60%,42%,76%,71%,64%,46%,44%,25%,36%,72%,77%,63%,68%,80%,66%,67%,87%,64%,61%,71%,22%,22%,15%,59%,56%,57%,61%,59%,41%,44%,68%,37%,39%,61%,43%,57%,45%,48%,53%,49%,30%,82%,59%,59%,75%,72%,87%,64%,59%,16%,19%,60%,68%,60%,55%
Attorney General's Departments,TSol,TSOL,79%,61%,79%,81%,72%,81%,60%,81%,76%,22%,50%,92%,85%,81%,60%,80%,86%,80%,79%,75%,85%,84%,65%,79%,82%,69%,68%,71%,44%,86%,83%,74%,77%,61%,51%,50%,83%,89%,71%,80%,89%,75%,80%,91%,70%,61%,65%,24%,23%,20%,57%,63%,56%,49%,52%,45%,31%,65%,40%,38%,61%,57%,45%,46%,43%,58%,68%,48%,91%,70%,72%,64%,74%,93%,67%,79%,6%,7%,66%,72%,61%,48%
"Business, Innovation and Skills","Department for Business, Innovation and Skills",BIS,83%,54%,78%,83%,67%,81%,52%,77%,70%,29%,43%,91%,83%,77%,60%,78%,85%,79%,84%,68%,81%,83%,62%,76%,79%,62%,61%,60%,38%,85%,83%,77%,62%,52%,48%,44%,81%,87%,67%,72%,83%,71%,78%,88%,56%,55%,62%,31%,32%,25%,45%,55%,44%,48%,42%,29%,24%,65%,38%,40%,46%,42%,35%,33%,34%,48%,59%,36%,87%,71%,69%,70%,72%,96%,66%,72%,7%,8%,63%,69%,57%,45%
"Business, Innovation and Skills",Acas,ACAS,78%,68%,75%,94%,68%,81%,55%,79%,81%,31%,51%,92%,81%,84%,48%,70%,95%,91%,95%,65%,82%,77%,69%,70%,79%,72%,62%,65%,36%,91%,82%,71%,64%,56%,48%,51%,81%,88%,67%,80%,94%,79%,86%,93%,72%,67%,73%,30%,32%,31%,59%,55%,49%,51%,47%,41%,33%,71%,48%,53%,78%,61%,65%,57%,52%,47%,58%,40%,91%,67%,67%,77%,79%,80%,56%,69%,7%,7%,67%,75%,65%,49%
"Business, Innovation and Skills",Companies House,CH,83%,64%,75%,92%,68%,81%,51%,77%,85%,33%,54%,87%,79%,76%,58%,72%,94%,90%,91%,66%,80%,79%,66%,70%,76%,71%,65%,64%,40%,86%,82%,73%,74%,51%,40%,41%,80%,85%,63%,80%,91%,79%,87%,90%,85%,78%,81%,29%,41%,28%,67%,52%,55%,65%,51%,52%,47%,63%,43%,49%,57%,63%,56%,51%,51%,49%,50%,40%,91%,69%,67%,67%,86%,76%,58%,66%,10%,8%,66%,70%,62%,50%
"Business, Innovation and Skills",Insolvency Service,INSS,76%,49%,70%,83%,67%,74%,37%,72%,74%,32%,30%,85%,74%,69%,51%,71%,84%,79%,85%,63%,81%,78%,63%,70%,77%,66%,61%,68%,42%,82%,75%,66%,58%,42%,19%,29%,77%,83%,57%,71%,86%,70%,77%,89%,62%,64%,72%,31%,35%,29%,28%,38%,29%,36%,24%,20%,19%,48%,29%,32%,33%,27%,38%,29%,28%,31%,55%,36%,89%,64%,66%,60%,78%,90%,73%,64%,11%,9%,55%,62%,53%,50%
