Departmental grouping,Organisation,Acronym,Response rate,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)",B58. I am trusted to carry out my job effectively (% strongly agree or agree),"B59. I believe I would be supported if I tried a new idea, even if it may not work (% strongly agree or agree)","B60. My performance is evaluated based on whether I get things done, rather than solely follow process (% strongly agree or agree)","B61. When I talk about my organisation I say ""we"" rather than ""they"" (% strongly agree or agree)",B62. I have some really good friendships at work (% strongly agree or agree),B63. My manager inspires my team to do our best,B64. [Senior managers] inspire people across [my organisation] to do their best,B65. My manager leads our team with confidence,B66. [Senior managers] lead [my organisation] with confidence,B67. My manager empowers me to do my job effectively,B68. [My organisation’s senior managers] empower teams to deliver,B69. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B70. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","W01. Overall, how satisfied are you with your life nowadays? (% rating 7-10)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7-10)","W03. Overall, how happy did you feel yesterday? (% rating 7-10)","W04. Overall, how anxious did you feel yesterday? (% rating 0-3)"
Civil Service,Civil Service benchmark (median),CSPS,75%,58%,74%,83%,68%,80%,49%,74%,73%,30%,43%,89%,79%,75%,56%,73%,85%,79%,83%,68%,82%,81%,63%,72%,79%,67%,61%,62%,39%,84%,80%,74%,63%,52%,41%,44%,78%,85%,64%,72%,83%,69%,75%,88%,69%,59%,67%,31%,33%,25%,46%,53%,45%,42%,42%,30%,27%,56%,36%,41%,57%,47%,47%,44%,42%,43%,55%,33%,88%,68%,65%,70%,76%,67%,37%,70%,47%,72%,40%,35%,57%,91%,66%,68%,11%,10%,65%,71%,62%,50%
Attorney General's Departments,Attorney General's Office,AGO,97%,74%,82%,89%,78%,91%,67%,80%,76%,38%,66%,89%,86%,77%,74%,86%,91%,86%,89%,80%,89%,91%,83%,83%,83%,77%,71%,71%,54%,91%,89%,94%,69%,69%,63%,69%,80%,86%,77%,77%,74%,77%,80%,91%,80%,63%,66%,46%,37%,31%,66%,74%,71%,80%,63%,60%,51%,74%,63%,57%,86%,74%,60%,71%,71%,80%,74%,63%,91%,77%,74%,91%,71%,74%,71%,83%,80%,86%,71%,77%,77%,100%,80%,91%,11%,9%,72%,79%,62%,47%
Attorney General's Departments,Crown Prosecution Service,CPS,61%,54%,68%,83%,60%,71%,43%,67%,64%,36%,33%,89%,79%,75%,45%,54%,85%,81%,82%,60%,72%,68%,59%,64%,71%,59%,55%,59%,34%,80%,75%,58%,58%,48%,30%,36%,70%,80%,54%,65%,82%,57%,74%,85%,54%,44%,51%,33%,39%,34%,32%,44%,41%,31%,31%,23%,21%,44%,33%,32%,48%,31%,53%,38%,36%,37%,45%,32%,83%,52%,49%,64%,81%,60%,33%,61%,39%,57%,31%,32%,50%,90%,64%,58%,13%,12%,57%,67%,56%,42%
Attorney General's Departments,HM Crown Prosecution Service Inspectorate,HMCPSI,100%,67%,72%,72%,70%,87%,56%,80%,83%,42%,63%,91%,71%,71%,57%,69%,77%,66%,74%,66%,94%,82%,63%,60%,83%,77%,66%,74%,31%,91%,86%,83%,71%,71%,31%,49%,83%,80%,77%,80%,89%,77%,86%,89%,83%,77%,83%,43%,40%,43%,54%,89%,68%,65%,56%,54%,50%,69%,60%,63%,74%,51%,60%,54%,51%,86%,74%,60%,86%,71%,80%,86%,71%,69%,63%,71%,62%,74%,69%,60%,66%,100%,85%,85%,9%,14%,63%,71%,68%,62%
Attorney General's Departments,Serious Fraud Office,SFO,80%,66%,77%,91%,69%,77%,53%,76%,77%,22%,57%,92%,74%,76%,64%,79%,92%,90%,90%,70%,84%,81%,66%,77%,79%,61%,60%,66%,41%,83%,76%,71%,59%,59%,43%,52%,77%,80%,70%,78%,85%,74%,72%,91%,70%,70%,77%,23%,24%,18%,70%,67%,63%,60%,63%,41%,40%,64%,47%,52%,75%,62%,60%,58%,57%,57%,61%,42%,88%,70%,66%,80%,75%,71%,53%,78%,65%,71%,56%,48%,60%,86%,64%,68%,14%,14%,63%,70%,61%,53%
Attorney General's Departments,Government Legal Department,GLD,80%,60%,78%,80%,71%,81%,59%,80%,75%,19%,47%,92%,85%,80%,56%,78%,85%,77%,78%,73%,87%,85%,64%,79%,81%,68%,68%,67%,38%,87%,83%,73%,71%,64%,51%,50%,83%,88%,70%,78%,87%,71%,77%,90%,66%,65%,68%,19%,20%,17%,54%,64%,54%,46%,49%,39%,31%,61%,36%,39%,62%,58%,44%,44%,41%,57%,66%,44%,91%,68%,66%,67%,75%,72%,47%,79%,57%,73%,45%,43%,64%,95%,70%,77%,8%,9%,65%,70%,61%,43%
"Business, Innovation & Skills","Department for Business, Innovation & Skills",BIS,84%,56%,77%,78%,68%,81%,55%,76%,72%,26%,45%,89%,81%,74%,59%,80%,81%,75%,79%,70%,84%,84%,64%,77%,81%,64%,64%,60%,37%,84%,82%,77%,68%,59%,45%,47%,80%,86%,66%,72%,80%,69%,76%,88%,70%,57%,64%,28%,28%,22%,51%,63%,52%,49%,45%,31%,22%,64%,36%,43%,51%,47%,37%,38%,37%,49%,62%,41%,87%,71%,67%,71%,70%,69%,45%,76%,57%,75%,48%,43%,62%,98%,67%,71%,11%,8%,62%,68%,58%,44%
"Business, Innovation & Skills",Acas,ACAS,66%,66%,71%,92%,66%,77%,50%,74%,79%,33%,46%,91%,79%,80%,44%,62%,94%,90%,92%,65%,80%,74%,66%,70%,78%,70%,62%,60%,38%,86%,77%,68%,59%,52%,45%,46%,75%,88%,63%,71%,90%,79%,79%,94%,80%,59%,67%,32%,35%,32%,53%,54%,46%,49%,46%,37%,32%,64%,36%,44%,73%,56%,62%,51%,50%,41%,54%,35%,88%,64%,58%,77%,78%,63%,36%,69%,47%,66%,38%,33%,51%,83%,60%,66%,12%,12%,68%,77%,65%,51%
"Business, Innovation & Skills",Companies House ,CH,72%,60%,72%,84%,60%,80%,44%,70%,73%,32%,34%,86%,78%,75%,51%,68%,87%,81%,83%,60%,78%,73%,58%,63%,68%,58%,54%,53%,33%,85%,84%,70%,63%,46%,33%,36%,72%,80%,54%,74%,81%,65%,71%,85%,72%,64%,71%,26%,43%,25%,41%,32%,31%,43%,31%,24%,26%,45%,31%,38%,56%,56%,55%,44%,44%,31%,42%,31%,88%,61%,59%,69%,83%,57%,26%,61%,34%,63%,28%,27%,45%,82%,62%,62%,12%,11%,65%,68%,58%,48%
"Business, Innovation & Skills",Competition and Markets Authority,CMA,82%,61%,74%,89%,68%,79%,47%,78%,73%,36%,51%,90%,77%,75%,59%,69%,92%,87%,88%,68%,82%,83%,63%,77%,81%,65%,62%,66%,36%,81%,81%,75%,54%,49%,43%,41%,81%,85%,68%,77%,81%,71%,77%,93%,69%,57%,63%,37%,38%,32%,52%,65%,57%,50%,56%,37%,32%,68%,40%,47%,68%,56%,44%,49%,46%,58%,65%,43%,83%,63%,66%,79%,69%,69%,46%,77%,56%,71%,46%,40%,61%,91%,61%,72%,6%,6%,69%,72%,63%,46%
