Department_group,Organisation,Organisation_Code,Response_rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose,B07. I have a clear understanding of [my organisation's] objectives,B08. I understand how my work contributes to [my organisation's] objectives,B09. My manager motivates me to be more effective in my job,B10. My manager is considerate of my life outside work,B11. My manager is open to my ideas,B12. My manager helps me to understand how I contribute to [my organisation's] objectives,"B13. Overall, I have confidence in the decisions made by my manager",B14. My manager recognises when I have done my job well,B15. I receive regular feedback on my performance,B16. The feedback I receive helps me to improve my performance,B17. I think that my performance is evaluated fairly,B18. Poor performance is dealt with effectively in my team,B19. The people in my team can be relied upon to help when things get difficult in my job,B20. The people in my team work together to find ways to improve the service we provide,B21. The people in my team are encouraged to come up with new and better ways of doing things,B22. I am able to access the right learning and development opportunities when I need to,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B24. There are opportunities for me to develop my career in [my organisation],B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B26. I am treated fairly at work,B27. I am treated with respect by the people I work with,B28. I feel valued for the work I do,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)","B30. In my job, I am clear what is expected of me",B31. I get the information I need to do my job well,B32. I have clear work objectives,B33. I have the skills I need to do my job effectively,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance,B38. I am satisfied with the total benefits package,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B40. I feel that [my organisation] as a whole is managed well,B41. [Senior managers] in [my organisation] are sufficiently visible,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values,B43. I believe that [the board has] a clear vision for the future of [my organisation],"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B45. I feel that change is managed well in [my organisation],B46. When changes are made in [my organisation] they are usually for the better,B47. [My organisation] keeps me informed about matters that affect me,B48. I have the opportunity to contribute my views before decisions are made that affect me,B49. I think it is safe to challenge the way things are done in [my organisation],B50. I am proud when I tell others I am part of [my organisation],B51. I would recommend [my organisation] as a great place to work,B52. I feel a strong personal attachment to [my organisation],B53. [My organisation] inspires me to do the best in my job,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey,B56. I believe that managers where I work will take action on the results from this survey,"B57. Where I work, I think effective action has been taken on the results of the last survey",B58. I am trusted to carry out my job effectively,"B59. I believe I would be supported if I try a new idea, even if it may not work","B60. When I talk about [my organisation] I say ""we"" rather than ""they""",B61. I have some really good friendships at work,B62. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B63. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
Civil Service,Civil Service benchmark (median),CIVILSERVICE,65%,59%,75%,83%,68%,80%,50%,76%,73%,31%,43%,90%,80%,75%,57%,74%,86%,80%,83%,69%,83%,81%,65%,73%,78%,66%,62%,63%,39%,84%,82%,74%,61%,51%,43%,44%,79%,84%,65%,74%,82%,69%,75%,89%,70%,58%,67%,32%,34%,27%,47%,55%,49%,43%,44%,29%,30%,56%,38%,43%,59%,51%,48%,46%,44%,46%,55%,35%,88%,69%,71%,77%,44%,61%,91%,67%,67%,12%,11%,34%,20%,66%,71%,64%,50%
Attorney General's departments,Attorney General's Office,AGO,95%,74%,86%,98%,78%,95%,65%,82%,76%,43%,72%,93%,90%,88%,83%,78%,100%,98%,98%,80%,83%,90%,93%,87%,80%,68%,70%,70%,58%,95%,95%,95%,68%,64%,63%,64%,83%,93%,75%,78%,85%,78%,90%,90%,75%,55%,58%,40%,40%,48%,70%,90%,75%,75%,75%,72%,56%,80%,64%,63%,82%,70%,63%,78%,73%,80%,78%,67%,95%,85%,90%,63%,73%,78%,95%,82%,89%,5%,5%,.,.,70%,70%,63%,53%
Attorney General's departments,Crown Prosecution Service,CPS,64%,59%,71%,86%,64%,73%,46%,72%,68%,35%,43%,91%,81%,79%,48%,58%,88%,85%,86%,65%,77%,72%,64%,70%,75%,62%,59%,63%,37%,83%,76%,61%,59%,51%,36%,38%,75%,83%,59%,70%,86%,61%,76%,86%,57%,50%,56%,34%,37%,35%,42%,57%,58%,46%,45%,29%,28%,50%,40%,38%,56%,42%,56%,45%,42%,48%,51%,39%,85%,54%,69%,82%,48%,58%,89%,64%,62%,12%,11%,40%,17%,61%,69%,62%,48%
Attorney General's departments,HM Crown Prosecution Service Inspectorate,HMCPSI,85%,47%,65%,67%,52%,67%,46%,52%,66%,55%,36%,91%,74%,65%,39%,57%,74%,61%,65%,52%,65%,70%,52%,52%,61%,52%,30%,61%,22%,70%,78%,52%,70%,43%,30%,39%,57%,52%,57%,43%,78%,57%,70%,87%,61%,52%,61%,57%,57%,52%,26%,48%,35%,30%,30%,26%,26%,52%,43%,43%,45%,36%,41%,36%,41%,35%,39%,35%,78%,48%,70%,61%,30%,48%,100%,86%,50%,9%,32%,.,.,64%,64%,64%,45%
Attorney General's departments,Serious Fraud Office,SFO,86%,67%,75%,91%,70%,79%,53%,78%,78%,28%,54%,91%,75%,74%,60%,77%,93%,90%,89%,70%,89%,82%,65%,79%,78%,59%,59%,65%,47%,84%,80%,73%,63%,56%,44%,50%,82%,84%,66%,80%,82%,74%,73%,91%,77%,71%,80%,33%,28%,24%,66%,63%,61%,55%,62%,40%,43%,66%,40%,49%,78%,63%,59%,57%,52%,58%,57%,36%,89%,70%,78%,73%,51%,63%,87%,66%,69%,11%,10%,30%,25%,66%,69%,65%,50%
"Business, Energy & Industrial Strategy","Department for Business, Energy & Industrial Strategy",BEIS,86%,54%,77%,52%,69%,81%,56%,79%,72%,26%,41%,90%,79%,75%,58%,81%,52%,43%,61%,73%,87%,86%,57%,79%,81%,62%,64%,60%,36%,87%,82%,76%,67%,58%,49%,49%,83%,88%,69%,76%,79%,69%,71%,88%,71%,59%,67%,27%,28%,22%,39%,62%,47%,28%,41%,30%,19%,61%,40%,45%,47%,45%,33%,37%,34%,50%,65%,39%,87%,73%,74%,70%,48%,70%,97%,68%,73%,11%,8%,37%,23%,66%,71%,63%,48%
"Business, Energy & Industrial Strategy",Acas,ACAS,68%,61%,70%,84%,67%,74%,45%,69%,73%,28%,36%,90%,78%,79%,39%,63%,85%,81%,85%,66%,82%,77%,69%,72%,79%,68%,62%,60%,37%,84%,76%,63%,57%,52%,31%,42%,71%,84%,55%,64%,84%,74%,74%,93%,71%,55%,62%,29%,27%,27%,39%,42%,35%,43%,31%,27%,23%,54%,32%,36%,70%,42%,58%,42%,40%,33%,52%,31%,86%,63%,71%,77%,28%,57%,85%,62%,62%,13%,11%,45%,19%,65%,73%,64%,48%
"Business, Energy & Industrial Strategy",Companies House ,CH,72%,63%,73%,87%,66%,80%,48%,76%,77%,34%,44%,87%,78%,73%,57%,72%,90%,84%,88%,66%,81%,77%,63%,72%,74%,63%,59%,61%,39%,85%,84%,73%,63%,49%,37%,42%,77%,84%,61%,81%,87%,73%,76%,85%,77%,66%,75%,29%,46%,27%,55%,41%,44%,49%,44%,34%,32%,54%,38%,46%,60%,61%,58%,48%,45%,43%,51%,35%,89%,67%,73%,83%,37%,53%,78%,58%,64%,12%,9%,39%,21%,65%,70%,60%,48%
"Business, Energy & Industrial Strategy",Competition and Markets Authority,CMA,85%,59%,74%,87%,69%,78%,48%,75%,74%,30%,46%,90%,77%,74%,56%,73%,89%,84%,87%,72%,84%,84%,65%,77%,79%,67%,62%,63%,39%,83%,79%,73%,59%,54%,39%,40%,76%,84%,65%,73%,80%,72%,74%,92%,68%,63%,67%,31%,33%,25%,47%,62%,52%,38%,48%,34%,30%,62%,39%,44%,61%,50%,42%,44%,44%,59%,67%,45%,83%,60%,77%,68%,44%,61%,92%,62%,67%,11%,12%,22%,16%,61%,68%,59%,47%
"Business, Energy & Industrial Strategy",Intellectual Property Office,IPO,93%,63%,77%,85%,70%,79%,65%,77%,81%,34%,49%,88%,83%,75%,58%,79%,88%,82%,86%,70%,85%,81%,66%,75%,77%,69%,66%,67%,44%,87%,80%,72%,78%,66%,61%,57%,79%,85%,64%,78%,86%,80%,81%,91%,81%,69%,78%,32%,43%,28%,58%,61%,51%,47%,48%,37%,34%,58%,43%,49%,64%,68%,52%,50%,50%,51%,57%,38%,87%,71%,71%,80%,44%,65%,93%,62%,74%,11%,9%,29%,13%,63%,66%,60%,48%
