Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose1,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload1,Pay and benefits,Leadership and managing change1,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
Civil Service,Civil Service benchmark (median),CIVILSERVICE,67%,61%,76%,82%,70%,81%,53%,77%,72%,30%,47%,90%,81%,77%,58%,75%,81%,83%,70%,84%,82%,66%,74%,79%,68%,63%,65%,40%,85%,83%,75%,63%,52%,47%,47%,80%,85%,66%,76%,70%,75%,88%,70%,61%,68%,30%,34%,25%,60%,54%,49%,49%,33%,33%,58%,39%,46%,62%,55%,49%,48%,46%,50%,36%,89%,71%,66%,63%,74%,47%,66%,43%,37%,92%,68%,70%,12%,11%,36%,20%,66%,71%,63%,49%
Attorney General's departments,Attorney General's Office,AGO,100%,84%,91%,98%,85%,96%,76%,88%,84%,35%,78%,96%,96%,91%,87%,83%,100%,96%,85%,89%,96%,85%,91%,93%,89%,83%,83%,52%,94%,100%,96%,67%,78%,79%,77%,89%,91%,87%,83%,98%,91%,100%,77%,74%,66%,38%,33%,32%,89%,85%,80%,85%,71%,58%,89%,70%,67%,98%,94%,68%,91%,85%,91%,74%,91%,89%,87%,76%,83%,93%,91%,64%,60%,100%,91%,98%,2%,6%,n<10,n<10,76%,80%,67%,47%
Attorney General's departments,Crown Prosecution Service,CPS,68%,61%,75%,87%,69%,75%,53%,75%,70%,33%,46%,92%,83%,82%,54%,64%,87%,88%,70%,82%,78%,68%,75%,78%,66%,63%,69%,39%,83%,77%,65%,67%,57%,44%,44%,78%,84%,64%,73%,67%,80%,90%,66%,56%,62%,30%,37%,31%,60%,62%,48%,47%,34%,31%,55%,38%,41%,60%,47%,59%,50%,48%,52%,41%,87%,60%,59%,61%,74%,54%,66%,39%,38%,89%,65%,65%,13%,11%,36%,21%,62%,70%,61%,47%
Attorney General's departments,HM Crown Prosecution Service Inspectorate,HMCPSI,92%,53%,71%,72%,70%,74%,39%,61%,75%,45%,53%,96%,74%,65%,48%,74%,70%,74%,70%,87%,78%,65%,74%,91%,70%,65%,74%,30%,83%,70%,70%,57%,48%,17%,35%,70%,61%,52%,61%,65%,83%,87%,91%,61%,61%,43%,52%,39%,70%,65%,52%,52%,48%,52%,52%,48%,39%,43%,26%,30%,39%,43%,61%,39%,87%,70%,78%,43%,61%,52%,65%,61%,52%,100%,65%,65%,17%,30%,n<10,n<10,48%,52%,48%,52%
Attorney General's departments,Serious Fraud Office,SFO,80%,67%,76%,90%,69%,79%,56%,78%,79%,23%,51%,91%,74%,78%,60%,74%,90%,90%,71%,89%,83%,66%,78%,79%,59%,60%,67%,42%,85%,80%,73%,63%,59%,46%,56%,80%,84%,70%,77%,76%,74%,91%,76%,75%,81%,25%,25%,19%,58%,59%,56%,57%,37%,37%,65%,38%,50%,76%,60%,56%,56%,56%,51%,31%,89%,72%,66%,65%,77%,51%,70%,35%,31%,88%,67%,69%,14%,12%,40%,20%,63%,71%,65%,50%
"Business, Energy & Industrial Strategy","Department for Business, Energy & Industrial Strategy",BEIS,90%,56%,79%,75%,70%,82%,59%,80%,71%,25%,51%,90%,81%,77%,63%,83%,74%,77%,74%,88%,87%,63%,81%,82%,63%,63%,62%,36%,86%,83%,78%,67%,57%,57%,53%,83%,88%,72%,78%,71%,72%,87%,68%,60%,67%,27%,28%,21%,70%,58%,48%,54%,37%,31%,64%,49%,52%,54%,52%,34%,41%,39%,56%,43%,88%,75%,69%,68%,78%,55%,72%,58%,41%,96%,65%,75%,10%,8%,37%,19%,68%,71%,64%,46%
"Business, Energy & Industrial Strategy",Acas,ACAS,68%,61%,73%,81%,65%,77%,46%,72%,70%,24%,37%,92%,81%,79%,44%,65%,79%,84%,66%,80%,75%,65%,68%,77%,64%,61%,56%,39%,87%,79%,66%,56%,44%,40%,42%,74%,85%,62%,67%,73%,73%,92%,76%,49%,60%,23%,26%,25%,47%,37%,36%,32%,26%,28%,56%,33%,38%,68%,45%,58%,49%,44%,37%,27%,86%,63%,50%,60%,65%,31%,60%,34%,33%,83%,60%,60%,14%,12%,36%,18%,64%,69%,65%,49%
"Business, Energy & Industrial Strategy",Companies House ,CH,86%,66%,74%,86%,70%,83%,56%,79%,79%,36%,45%,85%,79%,77%,58%,71%,85%,88%,70%,84%,79%,66%,74%,77%,74%,67%,68%,43%,88%,85%,75%,70%,53%,53%,46%,80%,87%,67%,82%,76%,81%,87%,78%,71%,80%,29%,52%,27%,40%,43%,51%,46%,40%,37%,58%,39%,53%,65%,69%,58%,54%,53%,48%,37%,90%,68%,70%,63%,78%,43%,59%,50%,48%,74%,56%,68%,8%,5%,31%,20%,70%,73%,65%,47%
"Business, Energy & Industrial Strategy",Competition and Markets Authority,CMA,82%,59%,74%,87%,66%,77%,45%,72%,72%,22%,46%,89%,77%,73%,60%,70%,86%,87%,65%,84%,84%,60%,74%,77%,61%,59%,57%,35%,84%,80%,69%,56%,49%,37%,39%,75%,80%,62%,69%,70%,74%,92%,77%,57%,63%,23%,24%,19%,62%,50%,47%,50%,32%,35%,59%,36%,42%,65%,50%,44%,45%,43%,60%,49%,79%,60%,59%,55%,70%,39%,63%,30%,23%,94%,65%,67%,14%,14%,25%,13%,68%,71%,65%,45%
"Business, Energy & Industrial Strategy",Intellectual Property Office,IPO,85%,66%,79%,87%,74%,83%,69%,80%,81%,34%,52%,89%,86%,77%,63%,82%,86%,88%,73%,88%,84%,69%,79%,82%,76%,71%,70%,44%,88%,84%,78%,81%,71%,64%,61%,83%,87%,68%,82%,81%,85%,92%,81%,70%,80%,32%,43%,26%,65%,56%,52%,54%,38%,38%,62%,46%,53%,70%,73%,56%,54%,53%,51%,36%,90%,76%,72%,66%,83%,52%,70%,56%,45%,92%,64%,76%,11%,9%,36%,21%,67%,66%,59%,45%
