Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)",PERMA Index,Proxy Stress Index
Civil Service,Civil Service benchmark (median),CIVILSERVICE,66%,62%,76%,83%,70%,81%,54%,78%,73%,31%,47%,90%,81%,77%,59%,77%,81%,84%,71%,86%,83%,67%,76%,80%,68%,64%,66%,40%,86%,82%,77%,64%,53%,48%,47%,80%,85%,68%,77%,70%,76%,89%,71%,60%,69%,31%,36%,27%,61%,52%,48%,49%,33%,35%,59%,40%,47%,65%,58%,52%,50%,48%,49%,36%,89%,72%,68%,65%,75%,49%,68%,51%,42%,92%,67%,71%,12%,11%,40%,19%,66%,71%,62%,32%,74%,29%
Attorney General's departments,Attorney General's Office,AGO,94%,86%,91%,97%,90%,96%,72%,91%,81%,21%,78%,98%,98%,96%,81%,81%,96%,98%,96%,89%,96%,89%,98%,94%,89%,91%,89%,70%,98%,100%,91%,66%,72%,81%,68%,91%,96%,91%,87%,89%,94%,100%,85%,57%,60%,21%,19%,23%,96%,83%,85%,89%,72%,68%,77%,64%,67%,94%,100%,83%,91%,89%,94%,81%,98%,87%,98%,70%,89%,89%,91%,83%,77%,93%,80%,93%,7%,2%,0%,0%,73%,76%,70%,36%,81%,17%
Attorney General's departments,Crown Prosecution Service,CPS,63%,61%,73%,84%,68%,74%,56%,73%,67%,30%,43%,91%,82%,80%,51%,62%,84%,85%,69%,82%,76%,67%,73%,78%,67%,63%,67%,37%,82%,76%,62%,68%,58%,50%,46%,76%,81%,62%,74%,65%,78%,88%,62%,52%,59%,27%,37%,28%,59%,59%,42%,41%,29%,27%,52%,35%,38%,59%,47%,59%,49%,46%,49%,39%,86%,56%,58%,59%,74%,51%,65%,42%,39%,90%,65%,62%,14%,13%,41%,17%,62%,70%,59%,37%,74%,33%
Attorney General's departments,HM Crown Prosecution Service Inspectorate,HMCPSI,72%,69%,71%,83%,79%,81%,52%,74%,82%,50%,67%,83%,72%,72%,56%,72%,83%,83%,78%,100%,83%,72%,78%,94%,89%,78%,72%,44%,83%,83%,78%,61%,65%,39%,44%,78%,72%,78%,67%,67%,94%,89%,83%,78%,83%,50%,50%,50%,83%,78%,78%,83%,39%,56%,67%,72%,50%,61%,56%,56%,61%,67%,67%,56%,89%,78%,61%,67%,61%,67%,78%,67%,61%,94%,67%,72%,17%,11%,100%,50%,61%,61%,61%,39%,75%,22%
Attorney General's departments,Serious Fraud Office,SFO,77%,63%,71%,84%,67%,76%,53%,76%,77%,22%,45%,91%,71%,73%,52%,68%,84%,84%,65%,85%,81%,64%,76%,77%,57%,57%,65%,40%,82%,77%,69%,60%,54%,45%,51%,78%,81%,66%,79%,73%,72%,92%,74%,70%,80%,23%,22%,19%,52%,50%,47%,48%,35%,36%,60%,34%,45%,74%,57%,54%,50%,47%,45%,26%,88%,67%,64%,65%,77%,48%,65%,35%,30%,91%,63%,67%,12%,12%,33%,23%,63%,68%,61%,29%,72%,31%
"Business, Energy & Industrial Strategy","Department for Business, Energy & Industrial Strategy",BEIS,95%,62%,80%,80%,73%,84%,64%,83%,74%,37%,57%,91%,82%,77%,65%,83%,79%,82%,76%,89%,87%,65%,81%,83%,69%,67%,70%,39%,87%,84%,81%,72%,62%,65%,57%,87%,89%,76%,83%,72%,74%,88%,76%,62%,70%,39%,39%,32%,74%,64%,55%,61%,44%,44%,70%,46%,56%,62%,66%,40%,49%,47%,62%,46%,91%,77%,73%,71%,82%,59%,73%,65%,47%,96%,61%,75%,9%,8%,42%,23%,68%,71%,63%,35%,74%,26%
"Business, Energy & Industrial Strategy",Acas,ACAS,63%,62%,73%,83%,72%,78%,48%,77%,74%,28%,40%,90%,80%,79%,49%,68%,81%,85%,74%,86%,81%,70%,78%,83%,74%,68%,64%,39%,87%,78%,70%,56%,49%,45%,43%,80%,88%,63%,75%,76%,74%,90%,74%,59%,69%,27%,30%,26%,50%,40%,36%,37%,25%,30%,59%,41%,42%,69%,51%,53%,49%,47%,40%,35%,90%,66%,59%,70%,74%,37%,68%,42%,35%,80%,59%,65%,10%,10%,41%,13%,64%,71%,63%,31%,73%,30%
"Business, Energy & Industrial Strategy",Companies House ,CH,92%,69%,78%,84%,72%,85%,59%,81%,80%,37%,52%,88%,81%,79%,63%,78%,82%,85%,70%,85%,81%,67%,74%,80%,75%,69%,72%,46%,89%,87%,78%,73%,57%,55%,50%,81%,88%,71%,83%,77%,81%,90%,78%,75%,82%,30%,54%,28%,55%,52%,54%,51%,49%,48%,62%,45%,54%,67%,75%,60%,58%,57%,51%,38%,91%,75%,74%,64%,81%,50%,60%,68%,61%,81%,58%,72%,9%,7%,47%,28%,68%,72%,65%,32%,74%,26%
"Business, Energy & Industrial Strategy",Competition and Markets Authority,CMA,74%,63%,78%,91%,70%,79%,56%,75%,74%,27%,55%,93%,80%,76%,63%,76%,90%,91%,71%,87%,83%,68%,79%,81%,65%,63%,63%,39%,82%,82%,73%,66%,54%,53%,50%,80%,81%,67%,73%,77%,78%,90%,75%,59%,64%,28%,29%,24%,71%,60%,54%,59%,43%,37%,72%,48%,50%,67%,61%,46%,51%,50%,63%,50%,84%,67%,68%,63%,75%,50%,70%,46%,33%,93%,66%,74%,12%,10%,29%,23%,65%,70%,61%,34%,73%,29%
"Business, Energy & Industrial Strategy",HM Land Registry,HMLR,73%,61%,66%,81%,65%,80%,49%,77%,75%,37%,45%,83%,77%,71%,44%,56%,80%,82%,64%,83%,76%,66%,71%,74%,65%,57%,63%,33%,87%,82%,71%,57%,50%,48%,39%,81%,86%,60%,80%,70%,78%,83%,75%,67%,77%,34%,42%,34%,58%,51%,59%,43%,31%,30%,58%,30%,43%,58%,59%,54%,45%,42%,44%,35%,88%,60%,66%,57%,79%,44%,64%,50%,43%,89%,63%,72%,9%,9%,39%,24%,64%,67%,61%,32%,71%,31%
