org_group,group_name
AGD,Attorney General's depts
BUS,Business
CAB,Cabinet Office
TER,Territorial Office
CMS,Culture
COM,Communities
CXD,Chancellor's other depts
DEF,Defence
DEV,International Development
EDU,Education
ENV,Environment
FCO,Foreign and Commonwealth
FSA,Food Standards
HEL,Health
HMT,HM Treasury
HOM,Home Office & NCA
IND,Independent regulators
JST,Justice
REV,Revenue
SCT,Scottish Government
STA,Statistics
TRD,International Trade
TRN,Transport
WAL,Welsh Government
WRK,Work and Pensions
