org_id,org_name,org_regex,org_group,org_2009,org_2010,org_2011,org_2012,org_2013,org_2014,org_2015,org_2016,org_2017,org_2018
0CS_00_CSPS,Civil Service Bencmark (median),(^civil service.*benchmark.*$),0CS,CSPS,CSPS,CSPS,CSPS,CSPS,CSPS,CSPS,CSPS,CSPS,CSPS
AGD_01_AGO,Attorney General's Office,^attorney.*$,AGD,AGO,AGO,AGO,AGO,AGO,AGO,AGO,AGO,AGO,AGO
AGD_02_CPS,Crown Prosecution Service,^crown prosecution service$,AGD,CPS,CPS,CPS,CPS,CPS,CPS,CPS,CPS,CPS,CPS
AGD_03_GLD,Government Legal Department,(^government legal.*$)|(^tsol$),AGD,TSOL,TSOL,TSOL,TSOL,TSOL,TSOL,GLD,GLD,GLD,GLD
AGD_04_SFO,Serious Fraud Office,^serious.*$,AGD,SFO,SFO,SFO,SFO,SFO,SFO,SFO,SFO,SFO,SFO
BUS_01_BEIS,"Department for Business, Energy & Industrial Strategy","^.*business, energy.*$",BUS,.,.,.,.,.,.,.,BEIS,BEIS,BEIS
BUS_02_BIS,"Department for Business, Innovation & Skills","^.*business, innovation.*$",BUS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,.,.,.
BUS_03_DECC,Department of Energy and Climate Change,^.*energy.*climate.*$,BUS,DECC,DECC,DECC,DECC,DECC,DECC,DECC,.,.,.
BUS_04_ACAS,Acas,^acas$,BUS,ACAS,ACAS,ACAS,ACAS,ACAS,ACAS,ACAS,ACAS,ACAS,ACAS
BUS_05_COM,Companies House ,^companies.*$,BUS,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH
BUS_06_CMA,Competition and Markets Authority,^competition.*$,BUS,.,.,.,.,.,CMA,CMA,CMA,CMA,CMA
BUS_07_REG,HM Land Registry,^.*registry.*$,BUS,LR,LR,LR,LR,LR,LR,LR,LR,LR,HMLR
BUS_08_INS,The Insolvency Service,^.*insolvency.*$,BUS,INSS,INSS,INSS,INSS,INSS,INSS,INSS,INSS,INSS,INSS
BUS_09_IPO,Intellectual Property Office,^.*intellectual.*$,BUS,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO,IPO
BUS_10_MET,Met Office,^.*met.*$,BUS,.,MET,MET,MET,MET,MET,MET,MET,MET,MET
BUS_11_NMO,National Measurement and Regulation Office,^.*measurement.*$,BUS,NMO,NMO,NMO,NMO,NMO,NMO,NMO,.,.,.
BUS_12_OFT,Office of Fair Trading,^.*trading.*$,BUS,OFT,OFT,OFT,OFT,OFT,.,.,.,.,.
BUS_13_ORDS,Ordnance Survey,^ordnance.*$,BUS,OS,OS,OS,OS,OS,OS,.,.,.,.
BUS_14_SFA,Skills Funding Agency,^skills.*$,BUS,.,.,SFA,SFA,SFA,SFA,SFA,.,.,.
CAB_01_CAB,Cabinet Office,^cabinet.*$,CAB,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
CAB_02_COI,Central Office of Information,^.*information.*$,CAB,COI,COI,.,.,.,.,.,.,.,.
CAB_03_COM,Crown Commercial Service,(^buying.*$)|(^.*procurement.*$)|(^.*commercial.*$),CAB,BS,BS,GPS,GPS,GPS,CCS,CCS,CCS,CCS,CCS
CAB_04_CSHR,Civil Service HR,^.*hr.*$,CAB,.,.,.,.,.,.,.,CSHR,CSHR,CSHR
CAB_06_GPA,Government Property Agency,^government.*property.*$,CAB,.,.,.,.,.,.,.,.,.,GPA
CAB_07_NSG,National School of Government,^national school.*$,CAB,NSG,NSG,.,.,.,.,.,.,.,.
CAB_08_OGC,Office of Government Commerce,^.*commerce*$,CAB,OGC,OGC,.,.,.,.,.,.,.,.
CAB_08_XEU,Department for Exiting the European Union,^.*exiting.*$,CAB,.,.,.,.,.,.,.,DEEU,DEXEU,DEXEU
CAB_05_GEO,Government Equalities Office,^.*equalities.*$,CAB,GEO,GEO,.,.,.,.,.,.,.,GEO
TER_02_SO,Scotland Office and Office of the Advocate General,^scotland office.*general$,TER,SO,.,.,.,.,.,.,.,.,.
TER_01_TER,"Scotland, Wales and Northern Ireland Offices",^scotland office.*northern.*$,TER,.,.,SWNIO,SWNIO,SWNIO,SWNIO,SWNIO,SWNIO,SWNIO,SWNIO
TER_03_WO,Wales Office,^wales office$,TER,WO,.,.,.,.,.,.,.,.,.
TER_04_SOWO,Scotland and Wales Offices,^scotland office.*wales office$,TER,.,SOWO,.,.,.,.,.,.,.,.
CMS_01_DCMS,"Department for Digital, Culture, Media and Sport","^.*culture, media.*$",CMS,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS
CMS_02_TNA,The National Archives,^.*archives$,CMS,.,TNA,TNA,TNA,TNA,TNA,TNA,TNA,TNA,TNA
CMS_03_TRP,The Royal Parks,^.*parks.*$,CMS,TRP,TRP,TRP,TRP,TRP,TRP,TRP,.,.,.
COM_01_DPT,"Ministry of Housing, Communities and Local Government",^.*communities.*$,COM,DCLG,DCLG,DCLG,DCLG,DCLG,DCLG,DCLG,DCLG,DCLG,MHCLG
COM_03_FSC,Fire Service College,^.*fire service.*$,COM,FSC,FSC,FSC,.,.,.,.,.,.,.
COM_04_GON,Government Office Network,^government office.*$,COM,GON,GON,.,.,.,.,.,.,.,.
COM_02_PINS,Planning Inspectorate,^.*planning.*$,COM,PINS,PINS,PINS,PINS,PINS,PINS,PINS,PINS,PINS,PINS
CXD_01_DMO,UK Debt Management Office,^.*debt.*$,CXD,DMO,DMO,DMO,DMO,DMO,DMO,DMO,DMO,DMO,DMO
CXD_02_GAD,Government Actuary's Department,^.*actuary's.*$,CXD,.,GAD,GAD,GAD,GAD,GAD,GAD,GAD,GAD,GAD
CXD_03_NSI,National Savings and Investments,^.*saving.*$,CXD,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI,NSANDI
DEF_02_DECA,Defence Electronics and Components Agency,^.*electronics.*$,DEF,.,.,.,.,.,.,DECA,DECA,DECA,DECA
DEF_03_DES,Defence Equipment & Support,^.*equipment.*$,DEF,.,.,.,.,.,DES,DES,DES,DES,DES
DEF_04_DSG,Defence Support Group,^.*support group.*$,DEF,.,DSG,DSG,DSG,DSG,DSG,.,.,.,.
DEF_05_DSTL,Dstl,^dstl$,DEF,.,DSTL,DSTL,DSTL,DSTL,DSTL,DSTL,DSTL,DSTL,DSTL
DEF_01_MOD,Ministry of Defence,^min.*defence.*$,DEF,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD
DEF_06_SDA,Submarine Delivery Agency,^submarine.*$,DEF,.,.,.,.,.,.,.,.,.,SDA
DEF_07_UKHO,UK Hydrographic Office,^.*hydrographic.*$,DEF,UKHO,UKHO,UKHO,UKHO,UKHO,UKHO,UKHO,UKHO,UKHO,UKHO
DEV_01_DIFD,Department for International Development,^.*development.*$,DEV,DFID,DFID,DFID,DFID,DFID,DFID,DFID,DFID,DFID,DFID
EDU_01_DFE,Department for Education,(^dep.*children.*$)|(^dep.*education.*$),EDU,DCSF,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE
ENV_02_APHA,Animal and Plant Health Agency,^animal.*plant.*$,ENV,.,.,.,.,.,APHA,APHA,APHA,APHA,APHA
ENV_04_ANH,Animal Health,^animal health$,ENV,AH,AH,.,.,.,.,.,.,.,.
ENV_03_ANVL,Animal Health and Veterinary Laboratories Agency,^animal health.*vet.*$,ENV,.,.,AHVLA,AHVLA,AHVLA,.,.,.,.,.
